[612, 396]
[paragraph, [26.0, 44.0, 342.0, 18.0], 9ivfYYhmf7, 5770358]
[paragraph, [26.0, 62.0, 342.0, 18.0], 9ivfYYhmf7, 5770358]
[paragraph, [26.0, 80.0, 342.0, 18.0], 9ivfYYhmf7, 5770358]
[paragraph, [26.0, 98.0, 342.0, 18.0], 9ivfYYhmf7, 5770358]
[paragraph, [26.0, 116.0, 342.0, 18.0], 9ivfYYhmf7, 5770358]
[paragraph, [26.0, 134.0, 342.0, 18.0], 9ivfYYhmf7, 5770358]
[paragraph, [26.0, 158.0, 341.0, 18.0], shoonya_0sJMJEMXWGHHWL, 5770358]
[paragraph, [26.0, 176.0, 341.0, 18.0], shoonya_0sJMJEMXWGHHWL, 5770358]
[paragraph, [26.0, 194.0, 341.0, 18.0], shoonya_0sJMJEMXWGHHWL, 5770358]
[paragraph, [26.0, 212.0, 341.0, 18.0], shoonya_0sJMJEMXWGHHWL, 5770358]
[paragraph, [26.0, 230.0, 341.0, 18.0], shoonya_0sJMJEMXWGHHWL, 5770358]
[paragraph, [26.0, 248.0, 341.0, 18.0], shoonya_0sJMJEMXWGHHWL, 5770358]
[paragraph, [26.0, 266.0, 341.0, 18.0], shoonya_0sJMJEMXWGHHWL, 5770358]
[paragraph, [26.0, 284.0, 341.0, 18.0], shoonya_0sJMJEMXWGHHWL, 5770358]
[paragraph, [26.0, 302.0, 341.0, 18.0], shoonya_0sJMJEMXWGHHWL, 5770358]
[paragraph, [26.0, 320.0, 341.0, 18.0], shoonya_0sJMJEMXWGHHWL, 5770358]
[paragraph, [26.0, 338.0, 341.0, 18.0], shoonya_0sJMJEMXWGHHWL, 5770358]
[paragraph, [26.0, 356.0, 341.0, 18.0], shoonya_0sJMJEMXWGHHWL, 5770358]
[paragraph, [26.0, 374.0, 341.0, 18.0], shoonya_0sJMJEMXWGHHWL, 5770358]
[paragraph, [82.0, 395.0, 158.0, 18.0], j0WZAO-KEi, 5770358]
[paragraph, [82.0, 413.0, 158.0, 18.0], j0WZAO-KEi, 5770358]
[paragraph, [82.0, 431.0, 158.0, 18.0], j0WZAO-KEi, 5770358]
[paragraph, [82.0, 449.0, 158.0, 18.0], j0WZAO-KEi, 5770358]
[paragraph, [26.0, 476.0, 341.0, 18.0], BwD2OSLcsk, 5770358]
[paragraph, [26.0, 494.0, 341.0, 18.0], BwD2OSLcsk, 5770358]
[paragraph, [26.0, 512.0, 341.0, 18.0], BwD2OSLcsk, 5770358]
[paragraph, [26.0, 530.0, 341.0, 18.0], BwD2OSLcsk, 5770358]
[paragraph, [26.0, 548.0, 341.0, 18.0], BwD2OSLcsk, 5770358]
