[792, 612]
[headline, [69.0, 376.0, 214.0, 25.5], shoonya_0sVVZUVGV1IIRC, 6515501]
[headline, [69.0, 401.5, 214.0, 25.5], shoonya_0sVVZUVGV1IIRC, 6515501]
[author, [55.0, 447.0, 120.0, 18.0], DjhgSCxoUh, 6515501]
[paragraph, [393.0, 447.0, 162.0, 18.0], j-EG_DT-lp, 6515501]
[paragraph, [393.0, 465.0, 162.0, 18.0], j-EG_DT-lp, 6515501]
[paragraph, [393.0, 483.0, 162.0, 18.0], j-EG_DT-lp, 6515501]
[paragraph, [393.0, 501.0, 162.0, 18.0], j-EG_DT-lp, 6515501]
[paragraph, [393.0, 519.0, 162.0, 18.0], j-EG_DT-lp, 6515501]
[paragraph, [223.0, 448.0, 161.0, 18.0], zXayKsQrca, 6515501]
[paragraph, [223.0, 479.0, 161.0, 18.0], kVStf5aHuK, 6515501]
[paragraph, [223.0, 497.0, 161.0, 18.0], kVStf5aHuK, 6515501]
[paragraph, [223.0, 515.0, 161.0, 18.0], kVStf5aHuK, 6515501]
[paragraph, [223.0, 533.0, 161.0, 18.0], kVStf5aHuK, 6515501]
[paragraph, [223.0, 551.0, 161.0, 18.0], kVStf5aHuK, 6515501]
[paragraph, [223.0, 569.0, 161.0, 18.0], kVStf5aHuK, 6515501]
[paragraph, [55.0, 486.0, 161.0, 18.0], lASkCt-xW4, 6515501]
[paragraph, [55.0, 504.0, 161.0, 18.0], lASkCt-xW4, 6515501]
[paragraph, [55.0, 522.0, 161.0, 18.0], lASkCt-xW4, 6515501]
[paragraph, [393.0, 557.0, 161.0, 18.0], 6oTVgmzPca, 6515501]
[paragraph, [393.0, 575.0, 161.0, 18.0], 6oTVgmzPca, 6515501]
[paragraph, [393.0, 593.0, 161.0, 18.0], 6oTVgmzPca, 6515501]
[paragraph, [393.0, 611.0, 161.0, 18.0], 6oTVgmzPca, 6515501]
[paragraph, [55.0, 558.0, 162.0, 18.0], s7aV6V-c0J, 6515501]
[paragraph, [55.0, 576.0, 162.0, 18.0], s7aV6V-c0J, 6515501]
[paragraph, [55.0, 594.0, 162.0, 18.0], s7aV6V-c0J, 6515501]
[paragraph, [55.0, 612.0, 162.0, 18.0], s7aV6V-c0J, 6515501]
[paragraph, [223.0, 596.0, 161.0, 18.0], erNE8lwuBK, 6515501]
[paragraph, [432.0, 635.0, 121.0, 18.0], XdBwxXkzHv, 6515501]
[paragraph, [55.0, 636.0, 126.0, 18.0], Pdirj3l4IQ, 6515501]
[paragraph, [55.0, 654.0, 126.0, 18.0], Pdirj3l4IQ, 6515501]
[paragraph, [439.0, 661.0, 114.0, 18.0], SQzDVzX9-Y, 6515501]
[paragraph, [439.0, 679.0, 114.0, 18.0], SQzDVzX9-Y, 6515501]
[paragraph, [439.0, 697.0, 114.0, 18.0], SQzDVzX9-Y, 6515501]
[paragraph, [439.0, 715.0, 114.0, 18.0], SQzDVzX9-Y, 6515501]
[paragraph, [51.0, 675.0, 140.0, 18.0], 7I5nDlKYDz, 6515501]
[paragraph, [51.0, 693.0, 140.0, 18.0], 7I5nDlKYDz, 6515501]
[paragraph, [51.0, 711.0, 140.0, 18.0], 7I5nDlKYDz, 6515501]
[paragraph, [51.0, 729.0, 140.0, 18.0], 7I5nDlKYDz, 6515501]
