[792, 567]
[folio, [20.0, 24.0, 51.0, 18.0], rkemFa7SP2, 5713305]
[folio, [73.0, 30.0, 64.0, 18.0], D8MseOjIc9, 5713305]
[paragraph, [20.0, 74.0, 187.0, 18.0], ay0D8VJa0i, 5713305]
[paragraph, [20.0, 92.0, 187.0, 18.0], ay0D8VJa0i, 5713305]
[paragraph, [20.0, 110.0, 187.0, 18.0], ay0D8VJa0i, 5713305]
[paragraph, [20.0, 128.0, 187.0, 18.0], ay0D8VJa0i, 5713305]
[paragraph, [20.0, 146.0, 187.0, 18.0], ay0D8VJa0i, 5713305]
[paragraph, [20.0, 164.0, 187.0, 18.0], ay0D8VJa0i, 5713305]
[paragraph, [20.0, 182.0, 187.0, 18.0], ay0D8VJa0i, 5713305]
[paragraph, [20.0, 200.0, 187.0, 18.0], ay0D8VJa0i, 5713305]
[paragraph, [20.0, 218.0, 187.0, 18.0], ay0D8VJa0i, 5713305]
[paragraph, [20.0, 236.0, 187.0, 18.0], ay0D8VJa0i, 5713305]
[paragraph, [20.0, 254.0, 187.0, 18.0], ay0D8VJa0i, 5713305]
[paragraph, [20.0, 272.0, 187.0, 18.0], ay0D8VJa0i, 5713305]
[paragraph, [20.0, 290.0, 187.0, 18.0], ay0D8VJa0i, 5713305]
[paragraph, [20.0, 308.0, 187.0, 18.0], ay0D8VJa0i, 5713305]
[section-title, [333.0, 348.0, 154.0, 30.0], 0BZIu-ejQj, 5713305]
[headline, [32.0, 355.0, 247.0, 25.5], Ei1rM1LMCf, 5713305]
[headline, [32.0, 380.5, 247.0, 25.5], Ei1rM1LMCf, 5713305]
[headline, [32.0, 406.0, 247.0, 25.5], Ei1rM1LMCf, 5713305]
[headline, [32.0, 431.5, 247.0, 25.5], Ei1rM1LMCf, 5713305]
[paragraph, [287.0, 394.0, 247.0, 18.0], atvXStO4KW, 5713305]
[paragraph, [287.0, 412.0, 247.0, 18.0], atvXStO4KW, 5713305]
[paragraph, [287.0, 430.0, 247.0, 18.0], atvXStO4KW, 5713305]
[paragraph, [287.0, 448.0, 247.0, 18.0], atvXStO4KW, 5713305]
[paragraph, [287.0, 466.0, 247.0, 18.0], atvXStO4KW, 5713305]
[paragraph, [287.0, 484.0, 247.0, 18.0], atvXStO4KW, 5713305]
[paragraph, [287.0, 502.0, 247.0, 18.0], atvXStO4KW, 5713305]
[paragraph, [16.0, 466.0, 262.0, 18.0], YUYcFioi67, 5713305]
[paragraph, [16.0, 484.0, 262.0, 18.0], YUYcFioi67, 5713305]
[paragraph, [16.0, 502.0, 262.0, 18.0], YUYcFioi67, 5713305]
[paragraph, [16.0, 520.0, 262.0, 18.0], YUYcFioi67, 5713305]
[paragraph, [16.0, 538.0, 262.0, 18.0], YUYcFioi67, 5713305]
[paragraph, [16.0, 556.0, 262.0, 18.0], YUYcFioi67, 5713305]
[paragraph, [16.0, 574.0, 262.0, 18.0], YUYcFioi67, 5713305]
[paragraph, [16.0, 592.0, 262.0, 18.0], YUYcFioi67, 5713305]
[paragraph, [16.0, 610.0, 262.0, 18.0], YUYcFioi67, 5713305]
[paragraph, [16.0, 628.0, 262.0, 18.0], YUYcFioi67, 5713305]
[paragraph, [285.0, 523.0, 240.0, 18.0], shoonya_2sYV8J9GDABCIE, 5713305]
[paragraph, [285.0, 541.0, 240.0, 18.0], shoonya_2sYV8J9GDABCIE, 5713305]
[paragraph, [285.0, 559.0, 240.0, 18.0], shoonya_2sYV8J9GDABCIE, 5713305]
[paragraph, [285.0, 577.0, 240.0, 18.0], shoonya_2sYV8J9GDABCIE, 5713305]
[paragraph, [285.0, 595.0, 240.0, 18.0], shoonya_2sYV8J9GDABCIE, 5713305]
[paragraph, [285.0, 613.0, 240.0, 18.0], shoonya_2sYV8J9GDABCIE, 5713305]
[paragraph, [285.0, 631.0, 240.0, 18.0], shoonya_2sYV8J9GDABCIE, 5713305]
[paragraph, [285.0, 649.0, 240.0, 18.0], shoonya_2sYV8J9GDABCIE, 5713305]
[paragraph, [285.0, 667.0, 240.0, 18.0], shoonya_2sYV8J9GDABCIE, 5713305]
[paragraph, [285.0, 685.0, 240.0, 18.0], shoonya_2sYV8J9GDABCIE, 5713305]
[paragraph, [285.0, 703.0, 240.0, 18.0], shoonya_2sYV8J9GDABCIE, 5713305]
[paragraph, [285.0, 721.0, 240.0, 18.0], shoonya_2sYV8J9GDABCIE, 5713305]
[paragraph, [20.0, 655.0, 259.0, 18.0], ZvEltXVF-D, 5713305]
[paragraph, [20.0, 673.0, 259.0, 18.0], ZvEltXVF-D, 5713305]
[paragraph, [20.0, 691.0, 259.0, 18.0], ZvEltXVF-D, 5713305]
[paragraph, [20.0, 709.0, 259.0, 18.0], ZvEltXVF-D, 5713305]
[folio, [39.0, 750.0, 105.0, 18.0], 6MAbkkgxXH, 5713305]
