[1224, 792]
[chapter-title, [33.0, 12.0, 478.0, 30.0], G1Cc0g_6eT, 5657241]
[chapter-title, [33.0, 42.0, 478.0, 30.0], G1Cc0g_6eT, 5657241]
[section-title, [16.0, 98.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 128.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 158.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 188.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 218.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 248.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 278.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 308.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 338.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 368.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 398.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 428.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 458.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 488.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 518.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 548.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[section-title, [16.0, 578.0, 696.0, 30.0], JB0dWfFQBg, 5657241]
[unordered-list, [13.0, 620.0, 746.0, 18.0], eYazipBLOF, 5657241]
[unordered-list, [13.0, 638.0, 746.0, 18.0], eYazipBLOF, 5657241]
[unordered-list, [13.0, 656.0, 746.0, 18.0], eYazipBLOF, 5657241]
[unordered-list, [13.0, 674.0, 746.0, 18.0], eYazipBLOF, 5657241]
[unordered-list, [13.0, 692.0, 746.0, 18.0], eYazipBLOF, 5657241]
[unordered-list, [13.0, 710.0, 746.0, 18.0], eYazipBLOF, 5657241]
[unordered-list, [13.0, 728.0, 746.0, 18.0], eYazipBLOF, 5657241]
[unordered-list, [13.0, 746.0, 746.0, 18.0], eYazipBLOF, 5657241]
[unordered-list, [13.0, 764.0, 746.0, 18.0], eYazipBLOF, 5657241]
[paragraph, [23.0, 808.0, 699.0, 18.0], xuPcPYQHLG, 5657241]
[paragraph, [23.0, 826.0, 699.0, 18.0], xuPcPYQHLG, 5657241]
[paragraph, [23.0, 844.0, 699.0, 18.0], xuPcPYQHLG, 5657241]
[paragraph, [23.0, 862.0, 699.0, 18.0], xuPcPYQHLG, 5657241]
[paragraph, [23.0, 880.0, 699.0, 18.0], xuPcPYQHLG, 5657241]
[paragraph, [23.0, 898.0, 699.0, 18.0], xuPcPYQHLG, 5657241]
[paragraph, [23.0, 916.0, 699.0, 18.0], xuPcPYQHLG, 5657241]
[paragraph, [23.0, 934.0, 699.0, 18.0], xuPcPYQHLG, 5657241]
[paragraph, [23.0, 952.0, 699.0, 18.0], xuPcPYQHLG, 5657241]
[paragraph, [32.0, 988.0, 526.0, 18.0], v9x2BdTrvq, 5657241]
[paragraph, [32.0, 1006.0, 526.0, 18.0], v9x2BdTrvq, 5657241]
[paragraph, [32.0, 1024.0, 526.0, 18.0], v9x2BdTrvq, 5657241]
[paragraph, [42.0, 1112.0, 101.0, 18.0], shoonya_0s0HR88MMIQY3G, 5657241]
[paragraph, [42.0, 1130.0, 101.0, 18.0], shoonya_0s0HR88MMIQY3G, 5657241]
[website-link, [49.0, 1162.0, 262.0, 18.0], _VJNZed0Oi, 5657241]
[website-link, [49.0, 1180.0, 262.0, 18.0], _VJNZed0Oi, 5657241]
