[2200, 1700]
[paragraph, [375.0, 114.0, 1133.0, 36.0], shoonya_1sIKL3JPCW0W0C, 5734268]
[paragraph, [375.0, 150.0, 1133.0, 36.0], shoonya_1sIKL3JPCW0W0C, 5734268]
[paragraph, [375.0, 186.0, 1133.0, 36.0], shoonya_1sIKL3JPCW0W0C, 5734268]
[paragraph, [375.0, 222.0, 1133.0, 36.0], shoonya_1sIKL3JPCW0W0C, 5734268]
[paragraph, [375.0, 258.0, 1133.0, 36.0], shoonya_1sIKL3JPCW0W0C, 5734268]
[paragraph, [375.0, 294.0, 1133.0, 36.0], shoonya_1sIKL3JPCW0W0C, 5734268]
[paragraph, [372.0, 359.0, 1135.0, 36.0], shoonya_2sPTPGBX8UMTA2, 5734268]
[paragraph, [372.0, 395.0, 1135.0, 36.0], shoonya_2sPTPGBX8UMTA2, 5734268]
[paragraph, [372.0, 431.0, 1135.0, 36.0], shoonya_2sPTPGBX8UMTA2, 5734268]
[paragraph, [372.0, 467.0, 1135.0, 36.0], shoonya_2sPTPGBX8UMTA2, 5734268]
[paragraph, [372.0, 503.0, 1135.0, 36.0], shoonya_2sPTPGBX8UMTA2, 5734268]
[paragraph, [372.0, 539.0, 1135.0, 36.0], shoonya_2sPTPGBX8UMTA2, 5734268]
[paragraph, [372.0, 575.0, 1135.0, 36.0], shoonya_2sPTPGBX8UMTA2, 5734268]
[paragraph, [372.0, 611.0, 1135.0, 36.0], shoonya_2sPTPGBX8UMTA2, 5734268]
[paragraph, [372.0, 647.0, 1135.0, 36.0], shoonya_2sPTPGBX8UMTA2, 5734268]
[paragraph, [372.0, 683.0, 1135.0, 36.0], shoonya_2sPTPGBX8UMTA2, 5734268]
[paragraph, [372.0, 719.0, 1135.0, 36.0], shoonya_2sPTPGBX8UMTA2, 5734268]
[paragraph, [372.0, 755.0, 1135.0, 36.0], shoonya_2sPTPGBX8UMTA2, 5734268]
[unordered-list, [427.0, 906.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 942.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 978.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1014.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1050.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1086.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1122.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1158.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1194.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1230.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1266.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1302.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1338.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1374.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1410.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1446.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1482.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1518.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1554.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1590.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1626.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1662.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1698.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1734.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1770.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1806.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1842.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1878.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
[unordered-list, [427.0, 1914.0, 1088.0, 36.0], shoonya_0sQSJXXI9M8RGE, 5734268]
