[2313, 1681]
[paragraph, [354.0, 194.0, 1182.0, 36.0], shoonya_4sLXPUD36MZ5R5, 5733523]
[paragraph, [354.0, 230.0, 1182.0, 36.0], shoonya_4sLXPUD36MZ5R5, 5733523]
[paragraph, [354.0, 266.0, 1182.0, 36.0], shoonya_4sLXPUD36MZ5R5, 5733523]
[paragraph, [354.0, 302.0, 1182.0, 36.0], shoonya_4sLXPUD36MZ5R5, 5733523]
[paragraph, [354.0, 338.0, 1182.0, 36.0], shoonya_4sLXPUD36MZ5R5, 5733523]
[paragraph, [354.0, 374.0, 1182.0, 36.0], shoonya_4sLXPUD36MZ5R5, 5733523]
[paragraph, [354.0, 410.0, 1182.0, 36.0], shoonya_4sLXPUD36MZ5R5, 5733523]
[paragraph, [354.0, 446.0, 1182.0, 36.0], shoonya_4sLXPUD36MZ5R5, 5733523]
[paragraph, [354.0, 482.0, 1182.0, 36.0], shoonya_4sLXPUD36MZ5R5, 5733523]
[paragraph, [351.0, 592.0, 1182.0, 36.0], shoonya_0sSKEI9ZM0JZ15, 5733523]
[paragraph, [351.0, 628.0, 1182.0, 36.0], shoonya_0sSKEI9ZM0JZ15, 5733523]
[paragraph, [351.0, 664.0, 1182.0, 36.0], shoonya_0sSKEI9ZM0JZ15, 5733523]
[paragraph, [351.0, 700.0, 1182.0, 36.0], shoonya_0sSKEI9ZM0JZ15, 5733523]
[paragraph, [351.0, 736.0, 1182.0, 36.0], shoonya_0sSKEI9ZM0JZ15, 5733523]
[paragraph, [351.0, 772.0, 1182.0, 36.0], shoonya_0sSKEI9ZM0JZ15, 5733523]
[paragraph, [351.0, 808.0, 1182.0, 36.0], shoonya_0sSKEI9ZM0JZ15, 5733523]
[paragraph, [351.0, 844.0, 1182.0, 36.0], shoonya_0sSKEI9ZM0JZ15, 5733523]
[paragraph, [351.0, 880.0, 1182.0, 36.0], shoonya_0sSKEI9ZM0JZ15, 5733523]
[paragraph, [351.0, 916.0, 1182.0, 36.0], shoonya_0sSKEI9ZM0JZ15, 5733523]
[paragraph, [351.0, 952.0, 1182.0, 36.0], shoonya_0sSKEI9ZM0JZ15, 5733523]
[paragraph, [351.0, 988.0, 1182.0, 36.0], shoonya_0sSKEI9ZM0JZ15, 5733523]
[paragraph, [351.0, 1024.0, 1182.0, 36.0], shoonya_0sSKEI9ZM0JZ15, 5733523]
[paragraph, [346.0, 1107.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [346.0, 1143.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [346.0, 1179.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [346.0, 1215.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [346.0, 1251.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [346.0, 1287.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [346.0, 1323.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [346.0, 1359.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [346.0, 1395.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [346.0, 1431.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [346.0, 1467.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [346.0, 1503.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [346.0, 1539.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [346.0, 1575.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [346.0, 1611.0, 1180.0, 36.0], shoonya_1sY707JN1NO12N, 5733523]
[paragraph, [342.0, 1694.0, 1188.0, 36.0], shoonya_2s4A5PM0AYH9O8, 5733523]
[paragraph, [342.0, 1730.0, 1188.0, 36.0], shoonya_2s4A5PM0AYH9O8, 5733523]
[paragraph, [342.0, 1766.0, 1188.0, 36.0], shoonya_2s4A5PM0AYH9O8, 5733523]
[paragraph, [342.0, 1802.0, 1188.0, 36.0], shoonya_2s4A5PM0AYH9O8, 5733523]
[paragraph, [342.0, 1838.0, 1188.0, 36.0], shoonya_2s4A5PM0AYH9O8, 5733523]
[paragraph, [342.0, 1874.0, 1188.0, 36.0], shoonya_2s4A5PM0AYH9O8, 5733523]
