[3968, 2806]
[headline, [1117.0, 236.0, 1196.0, 52.5], shoonya_5s12U3O6TL8B5H, 5683797]
[headline, [1117.0, 288.5, 1196.0, 52.5], shoonya_5s12U3O6TL8B5H, 5683797]
[headline, [1117.0, 341.0, 1196.0, 52.5], shoonya_5s12U3O6TL8B5H, 5683797]
[headline, [1117.0, 393.5, 1196.0, 52.5], shoonya_5s12U3O6TL8B5H, 5683797]
[headline, [1117.0, 446.0, 1196.0, 52.5], shoonya_5s12U3O6TL8B5H, 5683797]
[author, [1373.0, 886.0, 1113.0, 52.5], e11eantOZJ, 5683797]
[author, [1373.0, 938.5, 1113.0, 52.5], e11eantOZJ, 5683797]
[author, [1373.0, 991.0, 1113.0, 52.5], e11eantOZJ, 5683797]
[author, [1373.0, 1043.5, 1113.0, 52.5], e11eantOZJ, 5683797]
[author, [1373.0, 1096.0, 1113.0, 52.5], e11eantOZJ, 5683797]
[paragraph, [178.0, 1671.0, 1169.0, 52.5], shoonya_3sJ1ZDADRBI5Y4, 5683797]
[paragraph, [178.0, 1723.5, 1169.0, 52.5], shoonya_3sJ1ZDADRBI5Y4, 5683797]
[paragraph, [178.0, 1776.0, 1169.0, 52.5], shoonya_3sJ1ZDADRBI5Y4, 5683797]
[paragraph, [178.0, 1828.5, 1169.0, 52.5], shoonya_3sJ1ZDADRBI5Y4, 5683797]
[paragraph, [178.0, 1881.0, 1169.0, 52.5], shoonya_3sJ1ZDADRBI5Y4, 5683797]
[paragraph, [178.0, 1933.5, 1169.0, 52.5], shoonya_3sJ1ZDADRBI5Y4, 5683797]
[paragraph, [178.0, 1986.0, 1169.0, 52.5], shoonya_3sJ1ZDADRBI5Y4, 5683797]
[paragraph, [178.0, 2038.5, 1169.0, 52.5], shoonya_3sJ1ZDADRBI5Y4, 5683797]
[paragraph, [178.0, 2091.0, 1169.0, 52.5], shoonya_3sJ1ZDADRBI5Y4, 5683797]
[paragraph, [178.0, 2143.5, 1169.0, 52.5], shoonya_3sJ1ZDADRBI5Y4, 5683797]
[paragraph, [178.0, 2196.0, 1169.0, 52.5], shoonya_3sJ1ZDADRBI5Y4, 5683797]
[paragraph, [178.0, 2248.5, 1169.0, 52.5], shoonya_3sJ1ZDADRBI5Y4, 5683797]
[paragraph, [178.0, 2301.0, 1169.0, 52.5], shoonya_3sJ1ZDADRBI5Y4, 5683797]
[paragraph, [1370.0, 1681.0, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 1733.5, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 1786.0, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 1838.5, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 1891.0, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 1943.5, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 1996.0, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 2048.5, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 2101.0, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 2153.5, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 2206.0, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 2258.5, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 2311.0, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 2363.5, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 2416.0, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 2468.5, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 2521.0, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 2573.5, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 2626.0, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [1370.0, 2678.5, 1231.0, 52.5], shoonya_2sEHK2T01KV36H, 5683797]
[paragraph, [173.0, 2414.0, 1179.0, 52.5], shoonya_1sKI5FJUJPNCLO, 5683797]
[paragraph, [173.0, 2466.5, 1179.0, 52.5], shoonya_1sKI5FJUJPNCLO, 5683797]
[paragraph, [173.0, 2519.0, 1179.0, 52.5], shoonya_1sKI5FJUJPNCLO, 5683797]
[paragraph, [173.0, 2571.5, 1179.0, 52.5], shoonya_1sKI5FJUJPNCLO, 5683797]
[paragraph, [173.0, 2624.0, 1179.0, 52.5], shoonya_1sKI5FJUJPNCLO, 5683797]
[paragraph, [173.0, 2676.5, 1179.0, 52.5], shoonya_1sKI5FJUJPNCLO, 5683797]
[paragraph, [173.0, 2729.0, 1179.0, 52.5], shoonya_1sKI5FJUJPNCLO, 5683797]
[paragraph, [173.0, 2781.5, 1179.0, 52.5], shoonya_1sKI5FJUJPNCLO, 5683797]
[paragraph, [173.0, 2834.0, 1179.0, 52.5], shoonya_1sKI5FJUJPNCLO, 5683797]
[paragraph, [173.0, 2886.5, 1179.0, 52.5], shoonya_1sKI5FJUJPNCLO, 5683797]
[paragraph, [173.0, 2939.0, 1179.0, 52.5], shoonya_1sKI5FJUJPNCLO, 5683797]
[paragraph, [1390.0, 2805.0, 1219.0, 52.5], G8-PCW-bdL, 5683797]
[paragraph, [1390.0, 2857.5, 1219.0, 52.5], G8-PCW-bdL, 5683797]
[paragraph, [1390.0, 2910.0, 1219.0, 52.5], G8-PCW-bdL, 5683797]
[paragraph, [1390.0, 2962.5, 1219.0, 52.5], G8-PCW-bdL, 5683797]
[paragraph, [1390.0, 3015.0, 1219.0, 52.5], G8-PCW-bdL, 5683797]
[paragraph, [1390.0, 3067.5, 1219.0, 52.5], G8-PCW-bdL, 5683797]
[paragraph, [1390.0, 3120.0, 1219.0, 52.5], G8-PCW-bdL, 5683797]
[paragraph, [1390.0, 3172.5, 1219.0, 52.5], G8-PCW-bdL, 5683797]
[paragraph, [1390.0, 3225.0, 1219.0, 52.5], G8-PCW-bdL, 5683797]
[paragraph, [1390.0, 3277.5, 1219.0, 52.5], G8-PCW-bdL, 5683797]
[paragraph, [1390.0, 3330.0, 1219.0, 52.5], G8-PCW-bdL, 5683797]
[paragraph, [1390.0, 3382.5, 1219.0, 52.5], G8-PCW-bdL, 5683797]
[paragraph, [1390.0, 3435.0, 1219.0, 52.5], G8-PCW-bdL, 5683797]
[paragraph, [1390.0, 3487.5, 1219.0, 52.5], G8-PCW-bdL, 5683797]
[paragraph, [1390.0, 3540.0, 1219.0, 52.5], G8-PCW-bdL, 5683797]
