[792, 612]
[folio, [397.0, 46.0, 76.0, 18.0], mcgnuzTRB3, 6514527]
[paragraph, [209.0, 75.0, 267.0, 18.0], Z7nYN0J3AB, 6514527]
[paragraph, [209.0, 93.0, 267.0, 18.0], Z7nYN0J3AB, 6514527]
[paragraph, [176.0, 120.0, 290.0, 18.0], Jhr8mXuKjO, 6514527]
[paragraph, [208.0, 161.0, 267.0, 18.0], BHcL2D53Qi, 6514527]
[paragraph, [208.0, 179.0, 267.0, 18.0], BHcL2D53Qi, 6514527]
[paragraph, [208.0, 197.0, 267.0, 18.0], BHcL2D53Qi, 6514527]
[paragraph, [192.0, 235.0, 182.0, 18.0], e2JV_L-F4y, 6514527]
[paragraph, [169.0, 281.0, 306.0, 18.0], 0CboM72nb6, 6514527]
[paragraph, [169.0, 299.0, 306.0, 18.0], 0CboM72nb6, 6514527]
[paragraph, [203.0, 337.0, 99.0, 18.0], WPr5_06xKk, 6514527]
