[2339, 1656]
[paragraph, [177.0, 197.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [177.0, 233.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [177.0, 269.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [177.0, 305.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [177.0, 341.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [177.0, 377.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [177.0, 413.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [177.0, 449.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [177.0, 485.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [177.0, 521.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [177.0, 557.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [177.0, 593.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [177.0, 629.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [177.0, 665.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [177.0, 701.0, 1298.0, 36.0], shoonya_2s663IMBRO9ZII, 5731618]
[paragraph, [188.0, 782.0, 1275.0, 36.0], shoonya_1sMO24WQ3R5S6N, 5731618]
[paragraph, [188.0, 818.0, 1275.0, 36.0], shoonya_1sMO24WQ3R5S6N, 5731618]
[paragraph, [188.0, 854.0, 1275.0, 36.0], shoonya_1sMO24WQ3R5S6N, 5731618]
[paragraph, [188.0, 890.0, 1275.0, 36.0], shoonya_1sMO24WQ3R5S6N, 5731618]
[paragraph, [188.0, 926.0, 1275.0, 36.0], shoonya_1sMO24WQ3R5S6N, 5731618]
[paragraph, [188.0, 962.0, 1275.0, 36.0], shoonya_1sMO24WQ3R5S6N, 5731618]
[paragraph, [188.0, 998.0, 1275.0, 36.0], shoonya_1sMO24WQ3R5S6N, 5731618]
[paragraph, [188.0, 1034.0, 1275.0, 36.0], shoonya_1sMO24WQ3R5S6N, 5731618]
[paragraph, [188.0, 1070.0, 1275.0, 36.0], shoonya_1sMO24WQ3R5S6N, 5731618]
[paragraph, [188.0, 1106.0, 1275.0, 36.0], shoonya_1sMO24WQ3R5S6N, 5731618]
[paragraph, [188.0, 1142.0, 1275.0, 36.0], shoonya_1sMO24WQ3R5S6N, 5731618]
[paragraph, [188.0, 1178.0, 1275.0, 36.0], shoonya_1sMO24WQ3R5S6N, 5731618]
[paragraph, [188.0, 1214.0, 1275.0, 36.0], shoonya_1sMO24WQ3R5S6N, 5731618]
[paragraph, [188.0, 1250.0, 1275.0, 36.0], shoonya_1sMO24WQ3R5S6N, 5731618]
[paragraph, [188.0, 1321.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1357.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1393.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1429.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1465.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1501.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1537.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1573.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1609.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1645.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1681.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1717.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1753.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1789.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1825.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1861.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1897.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1933.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 1969.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 2005.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
[paragraph, [188.0, 2041.0, 1283.0, 36.0], shoonya_0sXNQDHLUA27U0, 5731618]
