[3508, 2481]
[contact-info, [683.0, 108.0, 1117.0, 52.5], 2RKmwihXDr, 6516725]
[contact-info, [683.0, 160.5, 1117.0, 52.5], 2RKmwihXDr, 6516725]
[contact-info, [221.0, 274.0, 790.0, 52.5], shoonya_5sLK1QHJ4A1JKX, 6516725]
[contact-info, [221.0, 326.5, 790.0, 52.5], shoonya_5sLK1QHJ4A1JKX, 6516725]
[contact-info, [221.0, 379.0, 790.0, 52.5], shoonya_5sLK1QHJ4A1JKX, 6516725]
[contact-info, [1523.0, 281.0, 623.0, 52.5], YU7eM7QVzD, 6516725]
[contact-info, [1523.0, 333.5, 623.0, 52.5], YU7eM7QVzD, 6516725]
[contact-info, [1523.0, 386.0, 623.0, 52.5], YU7eM7QVzD, 6516725]
[website-link, [1725.0, 413.0, 402.0, 18.0], 3OBagUHPOE, 6516725]
[website-link, [1725.0, 431.0, 402.0, 18.0], 3OBagUHPOE, 6516725]
[section-title, [1025.0, 510.0, 410.0, 93.0], Ib7TaBOz2h, 6516725]
[folio, [647.0, 751.0, 1186.0, 52.5], rqiaYpoIPd, 6516725]
[dateline, [1952.0, 995.0, 299.0, 52.5], shoonya_2sLKOQQWTK4XDJ, 6516725]
[paragraph, [225.0, 1258.0, 250.0, 52.5], shoonya_4sJNF5KODYDG1O, 6516725]
[paragraph, [221.0, 1378.0, 2046.0, 52.5], shoonya_1sBQM7DC5GBJUP, 6516725]
[paragraph, [221.0, 1430.5, 2046.0, 52.5], shoonya_1sBQM7DC5GBJUP, 6516725]
[paragraph, [221.0, 1483.0, 2046.0, 52.5], shoonya_1sBQM7DC5GBJUP, 6516725]
[paragraph, [221.0, 1535.5, 2046.0, 52.5], shoonya_1sBQM7DC5GBJUP, 6516725]
[paragraph, [221.0, 1588.0, 2046.0, 52.5], shoonya_1sBQM7DC5GBJUP, 6516725]
[unordered-list, [295.0, 1783.0, 1964.0, 52.5], shoonya_0sPZYKQNUQGH0N, 6516725]
[unordered-list, [295.0, 1835.5, 1964.0, 52.5], shoonya_0sPZYKQNUQGH0N, 6516725]
[unordered-list, [295.0, 1888.0, 1964.0, 52.5], shoonya_0sPZYKQNUQGH0N, 6516725]
[unordered-list, [295.0, 1940.5, 1964.0, 52.5], shoonya_0sPZYKQNUQGH0N, 6516725]
[unordered-list, [295.0, 1993.0, 1964.0, 52.5], shoonya_0sPZYKQNUQGH0N, 6516725]
[unordered-list, [295.0, 2045.5, 1964.0, 52.5], shoonya_0sPZYKQNUQGH0N, 6516725]
[unordered-list, [295.0, 2098.0, 1964.0, 52.5], shoonya_0sPZYKQNUQGH0N, 6516725]
[unordered-list, [295.0, 2150.5, 1964.0, 52.5], shoonya_0sPZYKQNUQGH0N, 6516725]
[unordered-list, [295.0, 2203.0, 1964.0, 52.5], shoonya_0sPZYKQNUQGH0N, 6516725]
[unordered-list, [295.0, 2255.5, 1964.0, 52.5], shoonya_0sPZYKQNUQGH0N, 6516725]
[figure-caption, [1856.0, 2690.0, 397.0, 52.5], EWD6PbqMQ3, 6516725]
[figure-caption, [1856.0, 2742.5, 397.0, 52.5], EWD6PbqMQ3, 6516725]
[contact-info, [1779.0, 3279.0, 472.0, 52.5], shoonya_7s9OI9CYBA7LAF, 6516725]
