[2031, 1446]
[paragraph, [218.0, 296.0, 1094.0, 36.0], shoonya_0s89GNVTG4QYCU, 5652608]
[paragraph, [218.0, 332.0, 1094.0, 36.0], shoonya_0s89GNVTG4QYCU, 5652608]
[paragraph, [218.0, 368.0, 1094.0, 36.0], shoonya_0s89GNVTG4QYCU, 5652608]
[paragraph, [218.0, 404.0, 1094.0, 36.0], shoonya_0s89GNVTG4QYCU, 5652608]
[paragraph, [218.0, 440.0, 1094.0, 36.0], shoonya_0s89GNVTG4QYCU, 5652608]
[paragraph, [218.0, 476.0, 1094.0, 36.0], shoonya_0s89GNVTG4QYCU, 5652608]
[paragraph, [218.0, 512.0, 1094.0, 36.0], shoonya_0s89GNVTG4QYCU, 5652608]
[paragraph, [218.0, 548.0, 1094.0, 36.0], shoonya_0s89GNVTG4QYCU, 5652608]
[paragraph, [218.0, 584.0, 1094.0, 36.0], shoonya_0s89GNVTG4QYCU, 5652608]
[paragraph, [218.0, 620.0, 1094.0, 36.0], shoonya_0s89GNVTG4QYCU, 5652608]
[paragraph, [218.0, 656.0, 1094.0, 36.0], shoonya_0s89GNVTG4QYCU, 5652608]
[paragraph, [218.0, 692.0, 1094.0, 36.0], shoonya_0s89GNVTG4QYCU, 5652608]
[paragraph, [221.0, 785.0, 1086.0, 36.0], shoonya_3sJ0HCHMAQ9GME, 5652608]
[paragraph, [221.0, 821.0, 1086.0, 36.0], shoonya_3sJ0HCHMAQ9GME, 5652608]
[paragraph, [221.0, 857.0, 1086.0, 36.0], shoonya_3sJ0HCHMAQ9GME, 5652608]
[paragraph, [221.0, 893.0, 1086.0, 36.0], shoonya_3sJ0HCHMAQ9GME, 5652608]
[paragraph, [221.0, 929.0, 1086.0, 36.0], shoonya_3sJ0HCHMAQ9GME, 5652608]
[paragraph, [217.0, 1017.0, 1090.0, 36.0], shoonya_2sTKU5QEL3A0T6, 5652608]
[paragraph, [217.0, 1053.0, 1090.0, 36.0], shoonya_2sTKU5QEL3A0T6, 5652608]
[paragraph, [217.0, 1089.0, 1090.0, 36.0], shoonya_2sTKU5QEL3A0T6, 5652608]
[paragraph, [217.0, 1125.0, 1090.0, 36.0], shoonya_2sTKU5QEL3A0T6, 5652608]
[paragraph, [217.0, 1161.0, 1090.0, 36.0], shoonya_2sTKU5QEL3A0T6, 5652608]
[paragraph, [217.0, 1197.0, 1090.0, 36.0], shoonya_2sTKU5QEL3A0T6, 5652608]
[paragraph, [217.0, 1233.0, 1090.0, 36.0], shoonya_2sTKU5QEL3A0T6, 5652608]
[paragraph, [217.0, 1269.0, 1090.0, 36.0], shoonya_2sTKU5QEL3A0T6, 5652608]
[paragraph, [217.0, 1305.0, 1090.0, 36.0], shoonya_2sTKU5QEL3A0T6, 5652608]
[paragraph, [217.0, 1341.0, 1090.0, 36.0], shoonya_2sTKU5QEL3A0T6, 5652608]
[paragraph, [217.0, 1377.0, 1090.0, 36.0], shoonya_2sTKU5QEL3A0T6, 5652608]
[paragraph, [217.0, 1413.0, 1090.0, 36.0], shoonya_2sTKU5QEL3A0T6, 5652608]
[paragraph, [220.0, 1511.0, 1094.0, 36.0], shoonya_1sXSF65H9ZRTMP, 5652608]
[paragraph, [220.0, 1547.0, 1094.0, 36.0], shoonya_1sXSF65H9ZRTMP, 5652608]
[paragraph, [220.0, 1583.0, 1094.0, 36.0], shoonya_1sXSF65H9ZRTMP, 5652608]
[paragraph, [220.0, 1619.0, 1094.0, 36.0], shoonya_1sXSF65H9ZRTMP, 5652608]
[paragraph, [220.0, 1655.0, 1094.0, 36.0], shoonya_1sXSF65H9ZRTMP, 5652608]
[paragraph, [220.0, 1691.0, 1094.0, 36.0], shoonya_1sXSF65H9ZRTMP, 5652608]
[paragraph, [220.0, 1727.0, 1094.0, 36.0], shoonya_1sXSF65H9ZRTMP, 5652608]
[paragraph, [220.0, 1763.0, 1094.0, 36.0], shoonya_1sXSF65H9ZRTMP, 5652608]
[paragraph, [220.0, 1799.0, 1094.0, 36.0], shoonya_1sXSF65H9ZRTMP, 5652608]
[footnote, [227.0, 1931.0, 607.0, 36.0], shoonya_5s5LJ8F1MY7A10, 5652608]
