[834, 618]
[folio, [75.0, 55.0, 80.0, 18.0], shoonya_4s5HZJ7YIWJDH6, 5712808]
[figure-caption, [439.0, 138.0, 123.0, 18.0], zACEifAv_C, 5712808]
[figure-caption, [439.0, 156.0, 123.0, 18.0], zACEifAv_C, 5712808]
[figure-caption, [439.0, 174.0, 123.0, 18.0], zACEifAv_C, 5712808]
[figure-caption, [439.0, 192.0, 123.0, 18.0], zACEifAv_C, 5712808]
[figure-caption, [439.0, 210.0, 123.0, 18.0], zACEifAv_C, 5712808]
[figure-caption, [439.0, 228.0, 123.0, 18.0], zACEifAv_C, 5712808]
[figure-caption, [439.0, 246.0, 123.0, 18.0], zACEifAv_C, 5712808]
[figure-caption, [439.0, 264.0, 123.0, 18.0], zACEifAv_C, 5712808]
[figure-caption, [439.0, 282.0, 123.0, 18.0], zACEifAv_C, 5712808]
[figure-caption, [439.0, 300.0, 123.0, 18.0], zACEifAv_C, 5712808]
[figure-caption, [439.0, 318.0, 123.0, 18.0], zACEifAv_C, 5712808]
[figure-caption, [439.0, 336.0, 123.0, 18.0], zACEifAv_C, 5712808]
[headline, [39.0, 224.0, 288.0, 25.5], ZJW2pqtImd, 5712808]
[headline, [39.0, 249.5, 288.0, 25.5], ZJW2pqtImd, 5712808]
[headline, [39.0, 275.0, 288.0, 25.5], ZJW2pqtImd, 5712808]
[headline, [39.0, 300.5, 288.0, 25.5], ZJW2pqtImd, 5712808]
[headline, [39.0, 326.0, 288.0, 25.5], ZJW2pqtImd, 5712808]
[paragraph, [305.0, 369.0, 263.0, 18.0], shoonya_2sIO2YB10QVMXU, 5712808]
[paragraph, [305.0, 387.0, 263.0, 18.0], shoonya_2sIO2YB10QVMXU, 5712808]
[paragraph, [305.0, 405.0, 263.0, 18.0], shoonya_2sIO2YB10QVMXU, 5712808]
[paragraph, [305.0, 423.0, 263.0, 18.0], shoonya_2sIO2YB10QVMXU, 5712808]
[paragraph, [305.0, 441.0, 263.0, 18.0], shoonya_2sIO2YB10QVMXU, 5712808]
[paragraph, [305.0, 459.0, 263.0, 18.0], shoonya_2sIO2YB10QVMXU, 5712808]
[paragraph, [305.0, 477.0, 263.0, 18.0], shoonya_2sIO2YB10QVMXU, 5712808]
[paragraph, [305.0, 495.0, 263.0, 18.0], shoonya_2sIO2YB10QVMXU, 5712808]
[paragraph, [305.0, 513.0, 263.0, 18.0], shoonya_2sIO2YB10QVMXU, 5712808]
[paragraph, [48.0, 371.0, 256.0, 18.0], rBfZAbdXH6, 5712808]
[paragraph, [48.0, 389.0, 256.0, 18.0], rBfZAbdXH6, 5712808]
[paragraph, [48.0, 407.0, 256.0, 18.0], rBfZAbdXH6, 5712808]
[paragraph, [48.0, 425.0, 256.0, 18.0], rBfZAbdXH6, 5712808]
[paragraph, [48.0, 443.0, 256.0, 18.0], rBfZAbdXH6, 5712808]
[paragraph, [48.0, 461.0, 256.0, 18.0], rBfZAbdXH6, 5712808]
[paragraph, [48.0, 479.0, 256.0, 18.0], rBfZAbdXH6, 5712808]
[paragraph, [48.0, 497.0, 256.0, 18.0], rBfZAbdXH6, 5712808]
[paragraph, [48.0, 515.0, 256.0, 18.0], rBfZAbdXH6, 5712808]
[paragraph, [49.0, 546.0, 242.0, 18.0], IsfLKSEhkp, 5712808]
[paragraph, [49.0, 564.0, 242.0, 18.0], IsfLKSEhkp, 5712808]
[paragraph, [49.0, 582.0, 242.0, 18.0], IsfLKSEhkp, 5712808]
[paragraph, [49.0, 600.0, 242.0, 18.0], IsfLKSEhkp, 5712808]
[paragraph, [49.0, 618.0, 242.0, 18.0], IsfLKSEhkp, 5712808]
[paragraph, [49.0, 636.0, 242.0, 18.0], IsfLKSEhkp, 5712808]
[paragraph, [49.0, 654.0, 242.0, 18.0], IsfLKSEhkp, 5712808]
[paragraph, [49.0, 672.0, 242.0, 18.0], IsfLKSEhkp, 5712808]
[paragraph, [49.0, 690.0, 242.0, 18.0], IsfLKSEhkp, 5712808]
[paragraph, [49.0, 708.0, 242.0, 18.0], IsfLKSEhkp, 5712808]
[paragraph, [49.0, 726.0, 242.0, 18.0], IsfLKSEhkp, 5712808]
[paragraph, [49.0, 744.0, 242.0, 18.0], IsfLKSEhkp, 5712808]
[unordered-list, [290.0, 580.0, 310.0, 18.0], dVTTx_Gx07, 5712808]
[unordered-list, [290.0, 598.0, 310.0, 18.0], dVTTx_Gx07, 5712808]
[unordered-list, [290.0, 616.0, 310.0, 18.0], dVTTx_Gx07, 5712808]
[unordered-list, [290.0, 634.0, 310.0, 18.0], dVTTx_Gx07, 5712808]
[unordered-list, [290.0, 652.0, 310.0, 18.0], dVTTx_Gx07, 5712808]
[unordered-list, [290.0, 670.0, 310.0, 18.0], dVTTx_Gx07, 5712808]
[unordered-list, [290.0, 688.0, 310.0, 18.0], dVTTx_Gx07, 5712808]
[unordered-list, [290.0, 706.0, 310.0, 18.0], dVTTx_Gx07, 5712808]
[unordered-list, [290.0, 724.0, 310.0, 18.0], dVTTx_Gx07, 5712808]
[unordered-list, [290.0, 742.0, 310.0, 18.0], dVTTx_Gx07, 5712808]
