[1571, 1128]
[headline, [127.0, 173.0, 517.0, 37.5], shoonya_0s7DJAWDAOQS3Y, 6471590]
[author, [125.0, 262.0, 152.0, 36.0], shoonya_6sOKNH9OAJGYCR, 6471590]
[unordered-list, [585.0, 267.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 303.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 339.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 375.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 411.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 447.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 483.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 519.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 555.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 591.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 627.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 663.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 699.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 735.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 771.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 807.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 843.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 879.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 915.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 951.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 987.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 1023.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 1059.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 1095.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 1131.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 1167.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 1203.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 1239.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[unordered-list, [585.0, 1275.0, 448.0, 36.0], shoonya_5sBYI42HV8PUT7, 6471590]
[paragraph, [122.0, 309.0, 449.0, 36.0], shoonya_1s0NGCMZP3DWQT, 6471590]
[paragraph, [122.0, 345.0, 449.0, 36.0], shoonya_1s0NGCMZP3DWQT, 6471590]
[paragraph, [122.0, 381.0, 449.0, 36.0], shoonya_1s0NGCMZP3DWQT, 6471590]
[paragraph, [122.0, 417.0, 449.0, 36.0], shoonya_1s0NGCMZP3DWQT, 6471590]
[paragraph, [122.0, 453.0, 449.0, 36.0], shoonya_1s0NGCMZP3DWQT, 6471590]
[paragraph, [123.0, 523.0, 445.0, 36.0], shoonya_3sAOD38NX8V2QK, 6471590]
[paragraph, [123.0, 559.0, 445.0, 36.0], shoonya_3sAOD38NX8V2QK, 6471590]
[paragraph, [123.0, 595.0, 445.0, 36.0], shoonya_3sAOD38NX8V2QK, 6471590]
[unordered-list, [119.0, 672.0, 452.0, 36.0], shoonya_2sTN3JLCBIXEEK, 6471590]
[unordered-list, [119.0, 708.0, 452.0, 36.0], shoonya_2sTN3JLCBIXEEK, 6471590]
[unordered-list, [119.0, 744.0, 452.0, 36.0], shoonya_2sTN3JLCBIXEEK, 6471590]
[unordered-list, [119.0, 780.0, 452.0, 36.0], shoonya_2sTN3JLCBIXEEK, 6471590]
[unordered-list, [119.0, 816.0, 452.0, 36.0], shoonya_2sTN3JLCBIXEEK, 6471590]
