[3508, 2480]
[folio, [1690.0, 309.0, 616.0, 52.5], BuLH4BPVUA, 5727984]
[website-link, [241.0, 312.0, 482.0, 18.0], UjhehAaVuL, 5727984]
[website-link, [241.0, 330.0, 482.0, 18.0], UjhehAaVuL, 5727984]
[website-link, [241.0, 348.0, 482.0, 18.0], UjhehAaVuL, 5727984]
[folio, [1752.0, 365.0, 538.0, 52.5], vBzOlMqOVv, 5727984]
[website-link, [247.0, 368.0, 461.0, 18.0], CsudO3T-eW, 5727984]
[website-link, [247.0, 386.0, 461.0, 18.0], CsudO3T-eW, 5727984]
[website-link, [247.0, 404.0, 461.0, 18.0], CsudO3T-eW, 5727984]
[folio, [1656.0, 424.0, 684.0, 52.5], o2DXYHxNAa, 5727984]
[website-link, [241.0, 430.0, 470.0, 18.0], 4cNZmnDNAz, 5727984]
[website-link, [241.0, 448.0, 470.0, 18.0], 4cNZmnDNAz, 5727984]
[website-link, [241.0, 466.0, 470.0, 18.0], 4cNZmnDNAz, 5727984]
[website-link, [241.0, 484.0, 470.0, 18.0], 4cNZmnDNAz, 5727984]
[flag, [653.0, 766.0, 1163.0, 52.5], shoonya_1sQG3F8NI0E532, 5727984]
[flag, [653.0, 818.5, 1163.0, 52.5], shoonya_1sQG3F8NI0E532, 5727984]
[flag, [653.0, 871.0, 1163.0, 52.5], shoonya_1sQG3F8NI0E532, 5727984]
[flag, [653.0, 923.5, 1163.0, 52.5], shoonya_1sQG3F8NI0E532, 5727984]
[flag, [653.0, 976.0, 1163.0, 52.5], shoonya_1sQG3F8NI0E532, 5727984]
[flag, [653.0, 1028.5, 1163.0, 52.5], shoonya_1sQG3F8NI0E532, 5727984]
[flag, [653.0, 1081.0, 1163.0, 52.5], shoonya_1sQG3F8NI0E532, 5727984]
[flag, [653.0, 1133.5, 1163.0, 52.5], shoonya_1sQG3F8NI0E532, 5727984]
[flag, [653.0, 1186.0, 1163.0, 52.5], shoonya_1sQG3F8NI0E532, 5727984]
[flag, [653.0, 1238.5, 1163.0, 52.5], shoonya_1sQG3F8NI0E532, 5727984]
[folio, [597.0, 1380.0, 1253.0, 52.5], yi1FexXWTo, 5727984]
[folio, [597.0, 1432.5, 1253.0, 52.5], yi1FexXWTo, 5727984]
[folio, [597.0, 1485.0, 1253.0, 52.5], yi1FexXWTo, 5727984]
[folio, [597.0, 1537.5, 1253.0, 52.5], yi1FexXWTo, 5727984]
[dateline, [804.0, 1730.0, 770.0, 52.5], FgqO5504Qm, 5727984]
[dateline, [804.0, 1782.5, 770.0, 52.5], FgqO5504Qm, 5727984]
[dateline, [804.0, 1835.0, 770.0, 52.5], FgqO5504Qm, 5727984]
[dateline, [1789.0, 1891.0, 421.0, 52.5], FuHkgSXw_y, 5727984]
[dateline, [1789.0, 1943.5, 421.0, 52.5], FuHkgSXw_y, 5727984]
[dateline, [1789.0, 1996.0, 421.0, 52.5], FuHkgSXw_y, 5727984]
[dateline, [130.0, 1901.0, 495.0, 52.5], SsWACICIvp, 5727984]
[dateline, [130.0, 1953.5, 495.0, 52.5], SsWACICIvp, 5727984]
[dateline, [130.0, 2006.0, 495.0, 52.5], SsWACICIvp, 5727984]
[folio, [1842.0, 2077.0, 331.0, 52.5], yL6SQE0-h-, 5727984]
[folio, [1842.0, 2129.5, 331.0, 52.5], yL6SQE0-h-, 5727984]
[folio, [1842.0, 2182.0, 331.0, 52.5], yL6SQE0-h-, 5727984]
[folio, [1842.0, 2234.5, 331.0, 52.5], yL6SQE0-h-, 5727984]
[folio, [207.0, 2108.0, 303.0, 52.5], fbcfOg67fc, 5727984]
[folio, [207.0, 2160.5, 303.0, 52.5], fbcfOg67fc, 5727984]
[folio, [207.0, 2213.0, 303.0, 52.5], fbcfOg67fc, 5727984]
[section-title, [1053.0, 2247.0, 383.0, 93.0], K88Ad5_pLg, 5727984]
[sub-section-title, [517.0, 2392.0, 1463.0, 73.5], -7GSSkqgaR, 5727984]
[folio, [1003.0, 2749.0, 464.0, 52.5], hMYpEMINSh, 5727984]
[folio, [1003.0, 2801.5, 464.0, 52.5], hMYpEMINSh, 5727984]
[folio, [1003.0, 2854.0, 464.0, 52.5], hMYpEMINSh, 5727984]
[folio, [1003.0, 2906.5, 464.0, 52.5], hMYpEMINSh, 5727984]
[contact-info, [1684.0, 3285.0, 201.0, 52.5], U6vyK1h_mg, 5727984]
[contact-info, [1684.0, 3337.5, 201.0, 52.5], U6vyK1h_mg, 5727984]
[contact-info, [1684.0, 3390.0, 201.0, 52.5], U6vyK1h_mg, 5727984]
[footnote, [232.0, 3334.0, 953.0, 52.5], VZSr8G9jUD, 5727984]
[footnote, [232.0, 3386.5, 953.0, 52.5], VZSr8G9jUD, 5727984]
[website-link, [749.0, 3387.0, 421.0, 18.0], dk2tgmjMPo, 5727984]
[website-link, [749.0, 3405.0, 421.0, 18.0], dk2tgmjMPo, 5727984]
[website-link, [749.0, 3423.0, 421.0, 18.0], dk2tgmjMPo, 5727984]
