[2339, 1653]
[folio, [1118.0, 324.0, 293.0, 36.0], g0_F1YfP7J, 5735943]
[folio, [239.0, 332.0, 139.0, 36.0], shoonya_12s7LAHSUO91QZ, 5735943]
[paragraph, [834.0, 387.0, 582.0, 36.0], shoonya_0sEVR72HLNALYU, 5735943]
[paragraph, [834.0, 423.0, 582.0, 36.0], shoonya_0sEVR72HLNALYU, 5735943]
[paragraph, [834.0, 459.0, 582.0, 36.0], shoonya_0sEVR72HLNALYU, 5735943]
[paragraph, [834.0, 495.0, 582.0, 36.0], shoonya_0sEVR72HLNALYU, 5735943]
[paragraph, [834.0, 531.0, 582.0, 36.0], shoonya_0sEVR72HLNALYU, 5735943]
[paragraph, [834.0, 567.0, 582.0, 36.0], shoonya_0sEVR72HLNALYU, 5735943]
[paragraph, [834.0, 603.0, 582.0, 36.0], shoonya_0sEVR72HLNALYU, 5735943]
[paragraph, [834.0, 639.0, 582.0, 36.0], shoonya_0sEVR72HLNALYU, 5735943]
[paragraph, [834.0, 675.0, 582.0, 36.0], shoonya_0sEVR72HLNALYU, 5735943]
[paragraph, [834.0, 711.0, 582.0, 36.0], shoonya_0sEVR72HLNALYU, 5735943]
[paragraph, [834.0, 747.0, 582.0, 36.0], shoonya_0sEVR72HLNALYU, 5735943]
[paragraph, [834.0, 783.0, 582.0, 36.0], shoonya_0sEVR72HLNALYU, 5735943]
[paragraph, [234.0, 388.0, 582.0, 36.0], shoonya_4sHNV22Z7C0LCT, 5735943]
[paragraph, [234.0, 424.0, 582.0, 36.0], shoonya_4sHNV22Z7C0LCT, 5735943]
[paragraph, [235.0, 479.0, 584.0, 36.0], 3jKNz10RKo, 5735943]
[paragraph, [235.0, 515.0, 584.0, 36.0], 3jKNz10RKo, 5735943]
[paragraph, [235.0, 551.0, 584.0, 36.0], 3jKNz10RKo, 5735943]
[paragraph, [235.0, 587.0, 584.0, 36.0], 3jKNz10RKo, 5735943]
[paragraph, [235.0, 623.0, 584.0, 36.0], 3jKNz10RKo, 5735943]
[paragraph, [235.0, 659.0, 584.0, 36.0], 3jKNz10RKo, 5735943]
[paragraph, [235.0, 695.0, 584.0, 36.0], 3jKNz10RKo, 5735943]
[paragraph, [235.0, 738.0, 576.0, 36.0], XFNfU33Ixu, 5735943]
[paragraph, [235.0, 774.0, 576.0, 36.0], XFNfU33Ixu, 5735943]
[paragraph, [235.0, 810.0, 576.0, 36.0], XFNfU33Ixu, 5735943]
[paragraph, [235.0, 846.0, 576.0, 36.0], XFNfU33Ixu, 5735943]
[paragraph, [235.0, 882.0, 576.0, 36.0], XFNfU33Ixu, 5735943]
[paragraph, [235.0, 918.0, 576.0, 36.0], XFNfU33Ixu, 5735943]
[paragraph, [235.0, 954.0, 576.0, 36.0], XFNfU33Ixu, 5735943]
[paragraph, [235.0, 990.0, 576.0, 36.0], XFNfU33Ixu, 5735943]
[paragraph, [235.0, 1026.0, 576.0, 36.0], XFNfU33Ixu, 5735943]
[paragraph, [235.0, 1062.0, 576.0, 36.0], XFNfU33Ixu, 5735943]
[paragraph, [834.0, 833.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 869.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 905.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 941.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 977.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1013.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1049.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1085.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1121.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1157.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1193.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1229.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1265.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1301.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1337.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1373.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1409.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1445.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1481.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1517.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1553.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[paragraph, [834.0, 1589.0, 580.0, 36.0], OPEP1769Zy, 5735943]
[sidebar, [1446.0, 1098.0, 146.0, 36.0], ZBKqnokjHe, 5735943]
[author, [605.0, 1101.0, 211.0, 36.0], shoonya_7sF6IKHWGBMVDM, 5735943]
[section-title, [232.0, 1181.0, 322.0, 52.5], h6jDDNZWEH, 5735943]
[paragraph, [238.0, 1239.0, 338.0, 36.0], EXvT44XlYE, 5735943]
[paragraph, [487.0, 1327.0, 329.0, 36.0], shoonya_9sYUZ0JB8LMY72, 5735943]
[paragraph, [487.0, 1363.0, 329.0, 36.0], shoonya_9sYUZ0JB8LMY72, 5735943]
[paragraph, [487.0, 1399.0, 329.0, 36.0], shoonya_9sYUZ0JB8LMY72, 5735943]
[paragraph, [487.0, 1435.0, 329.0, 36.0], shoonya_9sYUZ0JB8LMY72, 5735943]
[paragraph, [487.0, 1471.0, 329.0, 36.0], shoonya_9sYUZ0JB8LMY72, 5735943]
[paragraph, [487.0, 1507.0, 329.0, 36.0], shoonya_9sYUZ0JB8LMY72, 5735943]
[paragraph, [487.0, 1543.0, 329.0, 36.0], shoonya_9sYUZ0JB8LMY72, 5735943]
[paragraph, [487.0, 1579.0, 329.0, 36.0], shoonya_9sYUZ0JB8LMY72, 5735943]
[paragraph, [487.0, 1615.0, 329.0, 36.0], shoonya_9sYUZ0JB8LMY72, 5735943]
[paragraph, [832.0, 1631.0, 582.0, 36.0], YWkQ_CdR1U, 5735943]
[paragraph, [832.0, 1667.0, 582.0, 36.0], YWkQ_CdR1U, 5735943]
[paragraph, [832.0, 1703.0, 582.0, 36.0], YWkQ_CdR1U, 5735943]
[paragraph, [832.0, 1739.0, 582.0, 36.0], YWkQ_CdR1U, 5735943]
[paragraph, [832.0, 1775.0, 582.0, 36.0], YWkQ_CdR1U, 5735943]
[paragraph, [832.0, 1811.0, 582.0, 36.0], YWkQ_CdR1U, 5735943]
[paragraph, [832.0, 1847.0, 582.0, 36.0], YWkQ_CdR1U, 5735943]
[paragraph, [832.0, 1883.0, 582.0, 36.0], YWkQ_CdR1U, 5735943]
[paragraph, [238.0, 1679.0, 579.0, 36.0], shoonya_5s4YX83429NT8N, 5735943]
[paragraph, [238.0, 1715.0, 579.0, 36.0], shoonya_5s4YX83429NT8N, 5735943]
[paragraph, [238.0, 1751.0, 579.0, 36.0], shoonya_5s4YX83429NT8N, 5735943]
[paragraph, [238.0, 1787.0, 579.0, 36.0], shoonya_5s4YX83429NT8N, 5735943]
[paragraph, [238.0, 1823.0, 579.0, 36.0], shoonya_5s4YX83429NT8N, 5735943]
[paragraph, [238.0, 1859.0, 579.0, 36.0], shoonya_5s4YX83429NT8N, 5735943]
[paragraph, [238.0, 1895.0, 579.0, 36.0], shoonya_5s4YX83429NT8N, 5735943]
[folio, [227.0, 1966.0, 243.0, 36.0], zfIJFwmucQ, 5735943]
