[2339, 1653]
[paragraph, [323.0, 162.0, 1139.0, 36.0], shoonya_1sTPJYL37V2EYP, 5733763]
[paragraph, [323.0, 198.0, 1139.0, 36.0], shoonya_1sTPJYL37V2EYP, 5733763]
[paragraph, [323.0, 234.0, 1139.0, 36.0], shoonya_1sTPJYL37V2EYP, 5733763]
[paragraph, [323.0, 270.0, 1139.0, 36.0], shoonya_1sTPJYL37V2EYP, 5733763]
[paragraph, [323.0, 306.0, 1139.0, 36.0], shoonya_1sTPJYL37V2EYP, 5733763]
[paragraph, [323.0, 342.0, 1139.0, 36.0], shoonya_1sTPJYL37V2EYP, 5733763]
[paragraph, [323.0, 378.0, 1139.0, 36.0], shoonya_1sTPJYL37V2EYP, 5733763]
[paragraph, [323.0, 414.0, 1139.0, 36.0], shoonya_1sTPJYL37V2EYP, 5733763]
[paragraph, [323.0, 450.0, 1139.0, 36.0], shoonya_1sTPJYL37V2EYP, 5733763]
[paragraph, [323.0, 486.0, 1139.0, 36.0], shoonya_1sTPJYL37V2EYP, 5733763]
[paragraph, [323.0, 522.0, 1139.0, 36.0], shoonya_1sTPJYL37V2EYP, 5733763]
[paragraph, [323.0, 558.0, 1139.0, 36.0], shoonya_1sTPJYL37V2EYP, 5733763]
[paragraph, [323.0, 594.0, 1139.0, 36.0], shoonya_1sTPJYL37V2EYP, 5733763]
[paragraph, [326.0, 667.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 703.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 739.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 775.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 811.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 847.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 883.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 919.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 955.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 991.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1027.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1063.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1099.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1135.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1171.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1207.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1243.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1279.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1315.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1351.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1387.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1423.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1459.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1495.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1531.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1567.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1603.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1639.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1675.0, 1134.0, 36.0], shoonya_2s9L1SEHHS2Z89, 5733763]
[paragraph, [326.0, 1724.0, 1133.0, 36.0], shoonya_0sCI51SMCQ7NHQ, 5733763]
[paragraph, [326.0, 1760.0, 1133.0, 36.0], shoonya_0sCI51SMCQ7NHQ, 5733763]
[paragraph, [326.0, 1796.0, 1133.0, 36.0], shoonya_0sCI51SMCQ7NHQ, 5733763]
[paragraph, [326.0, 1832.0, 1133.0, 36.0], shoonya_0sCI51SMCQ7NHQ, 5733763]
[paragraph, [326.0, 1868.0, 1133.0, 36.0], shoonya_0sCI51SMCQ7NHQ, 5733763]
[paragraph, [326.0, 1904.0, 1133.0, 36.0], shoonya_0sCI51SMCQ7NHQ, 5733763]
[paragraph, [326.0, 1940.0, 1133.0, 36.0], shoonya_0sCI51SMCQ7NHQ, 5733763]
[paragraph, [326.0, 1976.0, 1133.0, 36.0], shoonya_0sCI51SMCQ7NHQ, 5733763]
[paragraph, [326.0, 2012.0, 1133.0, 36.0], shoonya_0sCI51SMCQ7NHQ, 5733763]
[paragraph, [326.0, 2048.0, 1133.0, 36.0], shoonya_0sCI51SMCQ7NHQ, 5733763]
[folio, [821.0, 2156.0, 578.0, 36.0], CXM73tda_V, 5733763]
