[789, 571]
[folio, [253.0, 54.0, 68.0, 18.0], shoonya_2sVNVCET7WXDMZ, 5702759]
[paragraph, [56.0, 92.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 110.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 128.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 146.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 164.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 182.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 200.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 218.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 236.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 254.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 272.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 290.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 308.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 326.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 344.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 362.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 380.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 398.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [56.0, 416.0, 461.0, 18.0], shoonya_1sF0MLVMNSK692, 5702759]
[paragraph, [60.0, 441.0, 461.0, 18.0], shoonya_0sS84AMYFVTVX8, 5702759]
[paragraph, [60.0, 459.0, 461.0, 18.0], shoonya_0sS84AMYFVTVX8, 5702759]
[paragraph, [60.0, 477.0, 461.0, 18.0], shoonya_0sS84AMYFVTVX8, 5702759]
[paragraph, [60.0, 495.0, 461.0, 18.0], shoonya_0sS84AMYFVTVX8, 5702759]
[paragraph, [60.0, 513.0, 461.0, 18.0], shoonya_0sS84AMYFVTVX8, 5702759]
[paragraph, [60.0, 531.0, 461.0, 18.0], shoonya_0sS84AMYFVTVX8, 5702759]
[paragraph, [60.0, 549.0, 461.0, 18.0], shoonya_0sS84AMYFVTVX8, 5702759]
[paragraph, [60.0, 567.0, 461.0, 18.0], shoonya_0sS84AMYFVTVX8, 5702759]
[paragraph, [60.0, 585.0, 461.0, 18.0], shoonya_0sS84AMYFVTVX8, 5702759]
[paragraph, [60.0, 603.0, 461.0, 18.0], shoonya_0sS84AMYFVTVX8, 5702759]
[paragraph, [58.0, 621.0, 469.0, 18.0], 74HOg2j9TJ, 5702759]
[paragraph, [58.0, 639.0, 469.0, 18.0], 74HOg2j9TJ, 5702759]
[paragraph, [58.0, 657.0, 469.0, 18.0], 74HOg2j9TJ, 5702759]
[paragraph, [58.0, 675.0, 469.0, 18.0], 74HOg2j9TJ, 5702759]
[paragraph, [58.0, 693.0, 469.0, 18.0], 74HOg2j9TJ, 5702759]
[paragraph, [58.0, 711.0, 469.0, 18.0], 74HOg2j9TJ, 5702759]
