[792, 612]
[folio, [245.0, 72.0, 121.0, 18.0], 21is5pzkYk, 5760793]
[folio, [245.0, 90.0, 121.0, 18.0], 21is5pzkYk, 5760793]
[section-title, [259.0, 119.0, 96.0, 30.0], 9TQkaXHE5O, 5760793]
[author, [224.0, 163.0, 159.0, 18.0], L7t2q9AL_4, 5760793]
[section-title, [250.0, 197.0, 111.0, 30.0], I3fRC2YWSs, 5760793]
[author, [223.0, 238.0, 163.0, 18.0], PK_Q5vWlel, 5760793]
[author, [223.0, 256.0, 163.0, 18.0], PK_Q5vWlel, 5760793]
[folio, [246.0, 285.0, 127.0, 18.0], kZSdj1vtVj, 5760793]
[paragraph, [61.0, 302.0, 488.0, 18.0], shoonya_0s71LEXC7N23VA, 5760793]
[paragraph, [61.0, 320.0, 488.0, 18.0], shoonya_0s71LEXC7N23VA, 5760793]
[paragraph, [61.0, 338.0, 488.0, 18.0], shoonya_0s71LEXC7N23VA, 5760793]
[paragraph, [61.0, 356.0, 488.0, 18.0], shoonya_0s71LEXC7N23VA, 5760793]
[paragraph, [61.0, 374.0, 488.0, 18.0], shoonya_0s71LEXC7N23VA, 5760793]
[paragraph, [61.0, 392.0, 488.0, 18.0], shoonya_0s71LEXC7N23VA, 5760793]
[paragraph, [61.0, 410.0, 488.0, 18.0], shoonya_0s71LEXC7N23VA, 5760793]
[paragraph, [61.0, 428.0, 488.0, 18.0], shoonya_0s71LEXC7N23VA, 5760793]
[paragraph, [64.0, 464.0, 490.0, 18.0], shoonya_1sR9G01W9CI61E, 5760793]
[paragraph, [64.0, 482.0, 490.0, 18.0], shoonya_1sR9G01W9CI61E, 5760793]
[paragraph, [64.0, 500.0, 490.0, 18.0], shoonya_1sR9G01W9CI61E, 5760793]
