[3509, 2480]
[paragraph, [499.0, 399.0, 1562.0, 52.5], o4bwWDFDtp, 5724349]
[paragraph, [499.0, 451.5, 1562.0, 52.5], o4bwWDFDtp, 5724349]
[paragraph, [499.0, 504.0, 1562.0, 52.5], o4bwWDFDtp, 5724349]
[paragraph, [337.0, 635.0, 1804.0, 52.5], UM-SWgfIq9, 5724349]
[paragraph, [337.0, 687.5, 1804.0, 52.5], UM-SWgfIq9, 5724349]
[paragraph, [337.0, 740.0, 1804.0, 52.5], UM-SWgfIq9, 5724349]
[paragraph, [337.0, 792.5, 1804.0, 52.5], UM-SWgfIq9, 5724349]
[paragraph, [337.0, 845.0, 1804.0, 52.5], UM-SWgfIq9, 5724349]
[paragraph, [337.0, 897.5, 1804.0, 52.5], UM-SWgfIq9, 5724349]
[paragraph, [337.0, 950.0, 1804.0, 52.5], UM-SWgfIq9, 5724349]
[paragraph, [337.0, 1002.5, 1804.0, 52.5], UM-SWgfIq9, 5724349]
[paragraph, [337.0, 1055.0, 1804.0, 52.5], UM-SWgfIq9, 5724349]
[paragraph, [337.0, 1107.5, 1804.0, 52.5], UM-SWgfIq9, 5724349]
[paragraph, [337.0, 1160.0, 1804.0, 52.5], UM-SWgfIq9, 5724349]
[paragraph, [337.0, 1212.5, 1804.0, 52.5], UM-SWgfIq9, 5724349]
[paragraph, [337.0, 1265.0, 1804.0, 52.5], UM-SWgfIq9, 5724349]
[paragraph, [337.0, 1317.5, 1804.0, 52.5], UM-SWgfIq9, 5724349]
[paragraph, [347.0, 1456.0, 1798.0, 52.5], ShFAKQlkzI, 5724349]
[paragraph, [347.0, 1508.5, 1798.0, 52.5], ShFAKQlkzI, 5724349]
[paragraph, [347.0, 1561.0, 1798.0, 52.5], ShFAKQlkzI, 5724349]
[paragraph, [347.0, 1613.5, 1798.0, 52.5], ShFAKQlkzI, 5724349]
[paragraph, [347.0, 1666.0, 1798.0, 52.5], ShFAKQlkzI, 5724349]
[paragraph, [347.0, 1718.5, 1798.0, 52.5], ShFAKQlkzI, 5724349]
[paragraph, [347.0, 1771.0, 1798.0, 52.5], ShFAKQlkzI, 5724349]
[paragraph, [339.0, 1888.0, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 1940.5, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 1993.0, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 2045.5, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 2098.0, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 2150.5, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 2203.0, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 2255.5, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 2308.0, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 2360.5, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 2413.0, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 2465.5, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 2518.0, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 2570.5, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 2623.0, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[paragraph, [339.0, 2675.5, 1805.0, 52.5], shoonya_3s323ZHATAA700, 5724349]
[footnote, [343.0, 2849.0, 1551.0, 52.5], shoonya_0sR4QDH4RHZS4F, 5724349]
[footnote, [343.0, 2901.5, 1551.0, 52.5], shoonya_0sR4QDH4RHZS4F, 5724349]
[footnote, [343.0, 2954.0, 1551.0, 52.5], shoonya_0sR4QDH4RHZS4F, 5724349]
[footnote, [343.0, 3006.5, 1551.0, 52.5], shoonya_0sR4QDH4RHZS4F, 5724349]
[footnote, [343.0, 3059.0, 1551.0, 52.5], shoonya_0sR4QDH4RHZS4F, 5724349]
