[1818, 1374]
[folio, [628.0, 143.0, 118.0, 36.0], shoonya_12s1XR60ZW4FR5, 5682609]
[paragraph, [109.0, 213.0, 569.0, 36.0], shoonya_2s7DGMODKWEJXJ, 5682609]
[paragraph, [109.0, 249.0, 569.0, 36.0], shoonya_2s7DGMODKWEJXJ, 5682609]
[paragraph, [109.0, 285.0, 569.0, 36.0], shoonya_2s7DGMODKWEJXJ, 5682609]
[paragraph, [689.0, 214.0, 576.0, 36.0], shoonya_10s62UNLQYQTKH, 5682609]
[paragraph, [689.0, 250.0, 576.0, 36.0], shoonya_10s62UNLQYQTKH, 5682609]
[paragraph, [689.0, 286.0, 576.0, 36.0], shoonya_10s62UNLQYQTKH, 5682609]
[paragraph, [689.0, 322.0, 576.0, 36.0], shoonya_10s62UNLQYQTKH, 5682609]
[paragraph, [689.0, 358.0, 576.0, 36.0], shoonya_10s62UNLQYQTKH, 5682609]
[paragraph, [108.0, 341.0, 568.0, 36.0], shoonya_5s8NP40J3CUR2T, 5682609]
[paragraph, [108.0, 377.0, 568.0, 36.0], shoonya_5s8NP40J3CUR2T, 5682609]
[paragraph, [108.0, 413.0, 568.0, 36.0], shoonya_5s8NP40J3CUR2T, 5682609]
[paragraph, [108.0, 449.0, 568.0, 36.0], shoonya_5s8NP40J3CUR2T, 5682609]
[paragraph, [108.0, 485.0, 568.0, 36.0], shoonya_5s8NP40J3CUR2T, 5682609]
[paragraph, [692.0, 515.0, 569.0, 36.0], shoonya_13sKUTPR6UDHGL, 5682609]
[paragraph, [692.0, 551.0, 569.0, 36.0], shoonya_13sKUTPR6UDHGL, 5682609]
[paragraph, [692.0, 587.0, 569.0, 36.0], shoonya_13sKUTPR6UDHGL, 5682609]
[paragraph, [692.0, 623.0, 569.0, 36.0], shoonya_13sKUTPR6UDHGL, 5682609]
[paragraph, [692.0, 659.0, 569.0, 36.0], shoonya_13sKUTPR6UDHGL, 5682609]
[paragraph, [110.0, 553.0, 563.0, 36.0], shoonya_14sN7OTWZRY552, 5682609]
[paragraph, [110.0, 589.0, 563.0, 36.0], shoonya_14sN7OTWZRY552, 5682609]
[paragraph, [110.0, 625.0, 563.0, 36.0], shoonya_14sN7OTWZRY552, 5682609]
[paragraph, [102.0, 680.0, 572.0, 36.0], shoonya_17sEI5DRO45OMS, 5682609]
[paragraph, [102.0, 716.0, 572.0, 36.0], shoonya_17sEI5DRO45OMS, 5682609]
[paragraph, [102.0, 752.0, 572.0, 36.0], shoonya_17sEI5DRO45OMS, 5682609]
[paragraph, [102.0, 788.0, 572.0, 36.0], shoonya_17sEI5DRO45OMS, 5682609]
[paragraph, [102.0, 824.0, 572.0, 36.0], shoonya_17sEI5DRO45OMS, 5682609]
[paragraph, [102.0, 860.0, 572.0, 36.0], shoonya_17sEI5DRO45OMS, 5682609]
[paragraph, [736.0, 773.0, 504.0, 36.0], OZuKst-FAw, 5682609]
[paragraph, [700.0, 814.0, 554.0, 36.0], VlA1_iskoS, 5682609]
[paragraph, [700.0, 850.0, 554.0, 36.0], VlA1_iskoS, 5682609]
[paragraph, [694.0, 897.0, 566.0, 36.0], shoonya_1sP04WQXXDN1LP, 5682609]
[paragraph, [694.0, 933.0, 566.0, 36.0], shoonya_1sP04WQXXDN1LP, 5682609]
[paragraph, [694.0, 969.0, 566.0, 36.0], shoonya_1sP04WQXXDN1LP, 5682609]
[paragraph, [158.0, 929.0, 391.0, 36.0], shoonya_18sXIF365EFKBI, 5682609]
[paragraph, [104.0, 972.0, 565.0, 36.0], Ap8rKSvjzM, 5682609]
[paragraph, [104.0, 1008.0, 565.0, 36.0], Ap8rKSvjzM, 5682609]
[paragraph, [689.0, 1019.0, 567.0, 36.0], shoonya_6s1GDSC8HJRHLN, 5682609]
[paragraph, [689.0, 1055.0, 567.0, 36.0], shoonya_6s1GDSC8HJRHLN, 5682609]
[paragraph, [161.0, 1053.0, 266.0, 36.0], ShXrmc-RsQ, 5682609]
[paragraph, [106.0, 1096.0, 568.0, 36.0], shoonya_9s7EWVDI1OHIAP, 5682609]
[paragraph, [106.0, 1132.0, 568.0, 36.0], shoonya_9s7EWVDI1OHIAP, 5682609]
[paragraph, [106.0, 1168.0, 568.0, 36.0], shoonya_9s7EWVDI1OHIAP, 5682609]
[paragraph, [689.0, 1103.0, 565.0, 36.0], shoonya_4sNRSMFH3VUPKJ, 5682609]
[paragraph, [689.0, 1139.0, 565.0, 36.0], shoonya_4sNRSMFH3VUPKJ, 5682609]
