[733, 500]
[folio, [243.0, 43.0, 89.0, 18.0], aj6E_UtzIL, 6463605]
[paragraph, [77.0, 74.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 92.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 110.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 128.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 146.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 164.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 182.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 200.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 218.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 236.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 254.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 272.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 290.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 308.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 326.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 344.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 362.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 380.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 398.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [77.0, 416.0, 408.0, 18.0], L_WlIbJdVa, 6463605]
[paragraph, [79.0, 447.0, 408.0, 18.0], n5rBZG0881, 6463605]
[paragraph, [79.0, 465.0, 408.0, 18.0], n5rBZG0881, 6463605]
[paragraph, [79.0, 483.0, 408.0, 18.0], n5rBZG0881, 6463605]
[paragraph, [79.0, 501.0, 408.0, 18.0], n5rBZG0881, 6463605]
[paragraph, [79.0, 519.0, 408.0, 18.0], n5rBZG0881, 6463605]
[paragraph, [79.0, 537.0, 408.0, 18.0], n5rBZG0881, 6463605]
[section-title, [179.0, 581.0, 207.0, 30.0], DiJRvIgV7Z, 6463605]
[paragraph, [80.0, 616.0, 403.0, 18.0], 7nhfFPANs-, 6463605]
[paragraph, [80.0, 634.0, 403.0, 18.0], 7nhfFPANs-, 6463605]
