[792, 612]
[folio, [458.0, 62.0, 77.0, 18.0], C8wSQ_Quat, 6516086]
[figure-caption, [220.0, 196.0, 169.0, 18.0], ZXkgEuTpSN, 6516086]
[paragraph, [68.0, 225.0, 475.0, 18.0], qMymYGygvE, 6516086]
[paragraph, [68.0, 243.0, 475.0, 18.0], qMymYGygvE, 6516086]
[paragraph, [68.0, 261.0, 475.0, 18.0], qMymYGygvE, 6516086]
[paragraph, [68.0, 279.0, 475.0, 18.0], qMymYGygvE, 6516086]
[paragraph, [68.0, 297.0, 475.0, 18.0], qMymYGygvE, 6516086]
[paragraph, [68.0, 315.0, 475.0, 18.0], qMymYGygvE, 6516086]
[paragraph, [68.0, 333.0, 475.0, 18.0], qMymYGygvE, 6516086]
[paragraph, [68.0, 351.0, 475.0, 18.0], qMymYGygvE, 6516086]
[paragraph, [228.0, 388.0, 155.0, 18.0], 8ZwEqKAdQY, 6516086]
[paragraph, [228.0, 406.0, 155.0, 18.0], 8ZwEqKAdQY, 6516086]
[paragraph, [228.0, 424.0, 155.0, 18.0], 8ZwEqKAdQY, 6516086]
[paragraph, [228.0, 442.0, 155.0, 18.0], 8ZwEqKAdQY, 6516086]
[paragraph, [410.0, 389.0, 151.0, 18.0], KChk-7Sfqu, 6516086]
[paragraph, [410.0, 407.0, 151.0, 18.0], KChk-7Sfqu, 6516086]
[paragraph, [50.0, 434.0, 150.0, 18.0], iyfRMQb66v, 6516086]
[paragraph, [50.0, 452.0, 150.0, 18.0], iyfRMQb66v, 6516086]
[paragraph, [50.0, 470.0, 150.0, 18.0], iyfRMQb66v, 6516086]
[paragraph, [50.0, 488.0, 150.0, 18.0], iyfRMQb66v, 6516086]
[paragraph, [50.0, 506.0, 150.0, 18.0], iyfRMQb66v, 6516086]
[paragraph, [50.0, 524.0, 150.0, 18.0], iyfRMQb66v, 6516086]
[paragraph, [50.0, 542.0, 150.0, 18.0], iyfRMQb66v, 6516086]
[paragraph, [50.0, 560.0, 150.0, 18.0], iyfRMQb66v, 6516086]
[paragraph, [50.0, 578.0, 150.0, 18.0], iyfRMQb66v, 6516086]
[paragraph, [50.0, 596.0, 150.0, 18.0], iyfRMQb66v, 6516086]
[paragraph, [50.0, 614.0, 150.0, 18.0], iyfRMQb66v, 6516086]
[paragraph, [50.0, 632.0, 150.0, 18.0], iyfRMQb66v, 6516086]
[paragraph, [50.0, 650.0, 150.0, 18.0], iyfRMQb66v, 6516086]
[paragraph, [50.0, 668.0, 150.0, 18.0], iyfRMQb66v, 6516086]
[paragraph, [410.0, 442.0, 152.0, 18.0], 82jwhtEQz9, 6516086]
[paragraph, [410.0, 460.0, 152.0, 18.0], 82jwhtEQz9, 6516086]
[paragraph, [410.0, 478.0, 152.0, 18.0], 82jwhtEQz9, 6516086]
[paragraph, [410.0, 496.0, 152.0, 18.0], 82jwhtEQz9, 6516086]
[paragraph, [410.0, 514.0, 152.0, 18.0], 82jwhtEQz9, 6516086]
[paragraph, [410.0, 532.0, 152.0, 18.0], 82jwhtEQz9, 6516086]
[paragraph, [410.0, 550.0, 152.0, 18.0], 82jwhtEQz9, 6516086]
[paragraph, [410.0, 568.0, 152.0, 18.0], 82jwhtEQz9, 6516086]
[paragraph, [410.0, 586.0, 152.0, 18.0], 82jwhtEQz9, 6516086]
[paragraph, [410.0, 604.0, 152.0, 18.0], 82jwhtEQz9, 6516086]
[paragraph, [410.0, 622.0, 152.0, 18.0], 82jwhtEQz9, 6516086]
[paragraph, [410.0, 640.0, 152.0, 18.0], 82jwhtEQz9, 6516086]
[paragraph, [410.0, 658.0, 152.0, 18.0], 82jwhtEQz9, 6516086]
[paragraph, [227.0, 469.0, 156.0, 18.0], QuZdy8FVhz, 6516086]
[paragraph, [227.0, 487.0, 156.0, 18.0], QuZdy8FVhz, 6516086]
[paragraph, [227.0, 505.0, 156.0, 18.0], QuZdy8FVhz, 6516086]
[paragraph, [227.0, 523.0, 156.0, 18.0], QuZdy8FVhz, 6516086]
[paragraph, [227.0, 541.0, 156.0, 18.0], QuZdy8FVhz, 6516086]
[paragraph, [227.0, 559.0, 156.0, 18.0], QuZdy8FVhz, 6516086]
[paragraph, [227.0, 577.0, 156.0, 18.0], QuZdy8FVhz, 6516086]
[paragraph, [227.0, 595.0, 156.0, 18.0], QuZdy8FVhz, 6516086]
[paragraph, [227.0, 613.0, 156.0, 18.0], QuZdy8FVhz, 6516086]
[paragraph, [227.0, 631.0, 156.0, 18.0], QuZdy8FVhz, 6516086]
[paragraph, [227.0, 649.0, 156.0, 18.0], QuZdy8FVhz, 6516086]
[paragraph, [227.0, 667.0, 156.0, 18.0], QuZdy8FVhz, 6516086]
