[515, 727]
[paragraph, [425.0, 28.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 46.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 64.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 82.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 100.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 118.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 136.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 154.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 172.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 190.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 208.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 226.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 244.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 262.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 280.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 298.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 316.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [425.0, 334.0, 261.0, 18.0], shoonya_0s6JYBWPSX9EWH, 6534124]
[paragraph, [135.0, 29.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 47.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 65.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 83.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 101.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 119.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 137.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 155.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 173.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 191.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 209.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 227.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 245.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 263.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 281.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 299.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 317.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 335.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 353.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 371.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [135.0, 389.0, 259.0, 18.0], shoonya_4sA88F1P9HDZCB, 6534124]
[paragraph, [424.0, 364.0, 264.0, 18.0], AChkCiXwbX, 6534124]
[paragraph, [424.0, 382.0, 264.0, 18.0], AChkCiXwbX, 6534124]
[folio, [619.0, 413.0, 67.0, 18.0], 5gd5GPtUdx, 6534124]
[folio, [135.0, 416.0, 61.0, 18.0], PacDNUOM1s, 6534124]
