[2339, 1653]
[paragraph, [236.0, 189.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 225.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 261.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 297.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 333.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 369.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 405.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 441.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 477.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 513.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 549.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 585.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 621.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 657.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 693.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 729.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 765.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 801.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 837.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 873.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 909.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 945.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 981.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1017.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1053.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1089.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1125.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1161.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1197.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1233.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1269.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1305.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1341.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1377.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1413.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1449.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1485.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1521.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1557.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1593.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1629.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1665.0, 1179.0, 36.0], shoonya_0sK2GO7WECJTCQ, 5754200]
[paragraph, [236.0, 1773.0, 1179.0, 36.0], shoonya_1sD65L3EOEHIG7, 5754200]
[paragraph, [236.0, 1809.0, 1179.0, 36.0], shoonya_1sD65L3EOEHIG7, 5754200]
[paragraph, [236.0, 1845.0, 1179.0, 36.0], shoonya_1sD65L3EOEHIG7, 5754200]
[paragraph, [236.0, 1881.0, 1179.0, 36.0], shoonya_1sD65L3EOEHIG7, 5754200]
[paragraph, [236.0, 1917.0, 1179.0, 36.0], shoonya_1sD65L3EOEHIG7, 5754200]
[paragraph, [236.0, 1953.0, 1179.0, 36.0], shoonya_1sD65L3EOEHIG7, 5754200]
[paragraph, [236.0, 1989.0, 1179.0, 36.0], shoonya_1sD65L3EOEHIG7, 5754200]
[paragraph, [236.0, 2025.0, 1179.0, 36.0], shoonya_1sD65L3EOEHIG7, 5754200]
[paragraph, [236.0, 2061.0, 1179.0, 36.0], shoonya_1sD65L3EOEHIG7, 5754200]
