[792, 612]
[section-title, [169.0, 176.0, 266.0, 30.0], Q4YtbEvPBN, 6517577]
[paragraph, [172.0, 233.0, 307.0, 18.0], b8PaTYo7Zc, 6517577]
[paragraph, [172.0, 251.0, 307.0, 18.0], b8PaTYo7Zc, 6517577]
[paragraph, [172.0, 269.0, 307.0, 18.0], b8PaTYo7Zc, 6517577]
[paragraph, [172.0, 287.0, 307.0, 18.0], b8PaTYo7Zc, 6517577]
[paragraph, [172.0, 305.0, 307.0, 18.0], b8PaTYo7Zc, 6517577]
[paragraph, [172.0, 323.0, 307.0, 18.0], b8PaTYo7Zc, 6517577]
[paragraph, [172.0, 341.0, 307.0, 18.0], b8PaTYo7Zc, 6517577]
[paragraph, [172.0, 359.0, 307.0, 18.0], b8PaTYo7Zc, 6517577]
[paragraph, [172.0, 377.0, 307.0, 18.0], b8PaTYo7Zc, 6517577]
[paragraph, [172.0, 395.0, 307.0, 18.0], b8PaTYo7Zc, 6517577]
[paragraph, [172.0, 413.0, 307.0, 18.0], b8PaTYo7Zc, 6517577]
[paragraph, [172.0, 431.0, 307.0, 18.0], b8PaTYo7Zc, 6517577]
[paragraph, [172.0, 449.0, 307.0, 18.0], b8PaTYo7Zc, 6517577]
[paragraph, [212.0, 478.0, 262.0, 18.0], CJZFJon5Z2, 6517577]
[paragraph, [165.0, 520.0, 310.0, 18.0], ZZmhoTHWwf, 6517577]
[paragraph, [165.0, 538.0, 310.0, 18.0], ZZmhoTHWwf, 6517577]
