[1650, 1275]
[section-title, [233.0, 140.0, 639.0, 49.5], DhtdYeyL6N, 6468159]
[paragraph, [125.0, 254.0, 651.0, 36.0], kIun3KJrfi, 6468159]
[paragraph, [125.0, 290.0, 651.0, 36.0], kIun3KJrfi, 6468159]
[paragraph, [125.0, 326.0, 651.0, 36.0], kIun3KJrfi, 6468159]
[paragraph, [125.0, 362.0, 651.0, 36.0], kIun3KJrfi, 6468159]
[paragraph, [125.0, 398.0, 651.0, 36.0], kIun3KJrfi, 6468159]
[paragraph, [125.0, 434.0, 651.0, 36.0], kIun3KJrfi, 6468159]
[paragraph, [125.0, 470.0, 651.0, 36.0], kIun3KJrfi, 6468159]
[paragraph, [116.0, 522.0, 502.0, 36.0], ZqQwFK-kcm, 6468159]
[paragraph, [116.0, 558.0, 502.0, 36.0], ZqQwFK-kcm, 6468159]
[paragraph, [116.0, 594.0, 502.0, 36.0], ZqQwFK-kcm, 6468159]
[paragraph, [116.0, 675.0, 662.0, 36.0], kaEfvORmOB, 6468159]
[paragraph, [116.0, 711.0, 662.0, 36.0], kaEfvORmOB, 6468159]
[paragraph, [116.0, 747.0, 662.0, 36.0], kaEfvORmOB, 6468159]
[paragraph, [116.0, 783.0, 662.0, 36.0], kaEfvORmOB, 6468159]
[paragraph, [116.0, 819.0, 662.0, 36.0], kaEfvORmOB, 6468159]
[paragraph, [116.0, 855.0, 662.0, 36.0], kaEfvORmOB, 6468159]
[paragraph, [113.0, 942.0, 495.0, 36.0], Hb-zE6RXM2, 6468159]
[paragraph, [113.0, 978.0, 495.0, 36.0], Hb-zE6RXM2, 6468159]
[paragraph, [113.0, 1014.0, 495.0, 36.0], Hb-zE6RXM2, 6468159]
[paragraph, [119.0, 1084.0, 673.0, 36.0], QjL19lzKTv, 6468159]
[paragraph, [119.0, 1120.0, 673.0, 36.0], QjL19lzKTv, 6468159]
[paragraph, [119.0, 1156.0, 673.0, 36.0], QjL19lzKTv, 6468159]
[paragraph, [119.0, 1192.0, 673.0, 36.0], QjL19lzKTv, 6468159]
[paragraph, [119.0, 1228.0, 673.0, 36.0], QjL19lzKTv, 6468159]
[paragraph, [119.0, 1264.0, 673.0, 36.0], QjL19lzKTv, 6468159]
[paragraph, [119.0, 1300.0, 673.0, 36.0], QjL19lzKTv, 6468159]
[paragraph, [117.0, 1355.0, 485.0, 36.0], lrLynnoQ1E, 6468159]
[paragraph, [117.0, 1391.0, 485.0, 36.0], lrLynnoQ1E, 6468159]
[paragraph, [117.0, 1427.0, 485.0, 36.0], lrLynnoQ1E, 6468159]
[folio, [929.0, 1485.0, 208.0, 36.0], gZvHZ_q2Ei, 6468159]
