[2096, 1516]
[folio, [64.0, 54.0, 183.0, 36.0], T-8OIGdR_4, 5712616]
[folio, [1245.0, 109.0, 227.0, 36.0], JhHt0UV5ND, 5712616]
[headline, [8.0, 128.0, 976.0, 67.5], shoonya_6sZAPCT0SCJ8IM, 5712616]
[author, [1109.0, 176.0, 325.0, 36.0], WYjv31CpeI, 5712616]
[paragraph, [36.0, 256.0, 1424.0, 36.0], shoonya_7s90THB6284Q3A, 5712616]
[paragraph, [36.0, 292.0, 1424.0, 36.0], shoonya_7s90THB6284Q3A, 5712616]
[paragraph, [36.0, 328.0, 1424.0, 36.0], shoonya_7s90THB6284Q3A, 5712616]
[paragraph, [37.0, 261.0, 1427.0, 36.0], shoonya_4s23NL5NWU7OJN, 5712616]
[paragraph, [37.0, 297.0, 1427.0, 36.0], shoonya_4s23NL5NWU7OJN, 5712616]
[paragraph, [37.0, 333.0, 1427.0, 36.0], shoonya_4s23NL5NWU7OJN, 5712616]
[paragraph, [746.0, 403.0, 733.0, 36.0], shoonya_1sAAX0X3CC8G1V, 5712616]
[paragraph, [746.0, 439.0, 733.0, 36.0], shoonya_1sAAX0X3CC8G1V, 5712616]
[paragraph, [746.0, 475.0, 733.0, 36.0], shoonya_1sAAX0X3CC8G1V, 5712616]
[paragraph, [746.0, 511.0, 733.0, 36.0], shoonya_1sAAX0X3CC8G1V, 5712616]
[paragraph, [746.0, 547.0, 733.0, 36.0], shoonya_1sAAX0X3CC8G1V, 5712616]
[paragraph, [746.0, 583.0, 733.0, 36.0], shoonya_1sAAX0X3CC8G1V, 5712616]
[paragraph, [746.0, 619.0, 733.0, 36.0], shoonya_1sAAX0X3CC8G1V, 5712616]
[paragraph, [746.0, 655.0, 733.0, 36.0], shoonya_1sAAX0X3CC8G1V, 5712616]
[paragraph, [746.0, 691.0, 733.0, 36.0], shoonya_1sAAX0X3CC8G1V, 5712616]
[paragraph, [746.0, 727.0, 733.0, 36.0], shoonya_1sAAX0X3CC8G1V, 5712616]
[paragraph, [20.0, 686.0, 743.0, 36.0], shoonya_2sTSCPPIA6J3YX, 5712616]
[paragraph, [20.0, 722.0, 743.0, 36.0], shoonya_2sTSCPPIA6J3YX, 5712616]
[paragraph, [20.0, 758.0, 743.0, 36.0], shoonya_2sTSCPPIA6J3YX, 5712616]
[paragraph, [20.0, 794.0, 743.0, 36.0], shoonya_2sTSCPPIA6J3YX, 5712616]
[paragraph, [20.0, 830.0, 743.0, 36.0], shoonya_2sTSCPPIA6J3YX, 5712616]
[paragraph, [20.0, 866.0, 743.0, 36.0], shoonya_2sTSCPPIA6J3YX, 5712616]
[paragraph, [20.0, 902.0, 743.0, 36.0], shoonya_2sTSCPPIA6J3YX, 5712616]
[paragraph, [20.0, 938.0, 743.0, 36.0], shoonya_2sTSCPPIA6J3YX, 5712616]
[paragraph, [20.0, 974.0, 743.0, 36.0], shoonya_2sTSCPPIA6J3YX, 5712616]
[paragraph, [753.0, 784.0, 731.0, 36.0], shoonya_9sCD5ZNBBZCDVO, 5712616]
[paragraph, [753.0, 820.0, 731.0, 36.0], shoonya_9sCD5ZNBBZCDVO, 5712616]
[paragraph, [753.0, 856.0, 731.0, 36.0], shoonya_9sCD5ZNBBZCDVO, 5712616]
[paragraph, [753.0, 892.0, 731.0, 36.0], shoonya_9sCD5ZNBBZCDVO, 5712616]
[paragraph, [753.0, 928.0, 731.0, 36.0], shoonya_9sCD5ZNBBZCDVO, 5712616]
[paragraph, [753.0, 964.0, 731.0, 36.0], shoonya_9sCD5ZNBBZCDVO, 5712616]
[paragraph, [753.0, 1000.0, 731.0, 36.0], shoonya_9sCD5ZNBBZCDVO, 5712616]
[paragraph, [753.0, 1036.0, 731.0, 36.0], shoonya_9sCD5ZNBBZCDVO, 5712616]
[paragraph, [22.0, 1005.0, 731.0, 36.0], shoonya_5sBSAHLOD11CC3, 5712616]
[paragraph, [22.0, 1041.0, 731.0, 36.0], shoonya_5sBSAHLOD11CC3, 5712616]
[paragraph, [22.0, 1077.0, 731.0, 36.0], shoonya_5sBSAHLOD11CC3, 5712616]
[paragraph, [22.0, 1113.0, 731.0, 36.0], shoonya_5sBSAHLOD11CC3, 5712616]
[paragraph, [22.0, 1149.0, 731.0, 36.0], shoonya_5sBSAHLOD11CC3, 5712616]
[paragraph, [22.0, 1185.0, 731.0, 36.0], shoonya_5sBSAHLOD11CC3, 5712616]
[paragraph, [749.0, 1096.0, 731.0, 36.0], shoonya_3sL5V9MKO861SM, 5712616]
[paragraph, [749.0, 1132.0, 731.0, 36.0], shoonya_3sL5V9MKO861SM, 5712616]
[paragraph, [749.0, 1168.0, 731.0, 36.0], shoonya_3sL5V9MKO861SM, 5712616]
[paragraph, [753.0, 1204.0, 729.0, 36.0], shoonya_8sQRGB6RZ8BZ19, 5712616]
[paragraph, [753.0, 1240.0, 729.0, 36.0], shoonya_8sQRGB6RZ8BZ19, 5712616]
[paragraph, [753.0, 1276.0, 729.0, 36.0], shoonya_8sQRGB6RZ8BZ19, 5712616]
[paragraph, [753.0, 1312.0, 729.0, 36.0], shoonya_8sQRGB6RZ8BZ19, 5712616]
[paragraph, [753.0, 1348.0, 729.0, 36.0], shoonya_8sQRGB6RZ8BZ19, 5712616]
[paragraph, [753.0, 1384.0, 729.0, 36.0], shoonya_8sQRGB6RZ8BZ19, 5712616]
[paragraph, [753.0, 1420.0, 729.0, 36.0], shoonya_8sQRGB6RZ8BZ19, 5712616]
[paragraph, [753.0, 1456.0, 729.0, 36.0], shoonya_8sQRGB6RZ8BZ19, 5712616]
[paragraph, [26.0, 1240.0, 726.0, 36.0], O_z0sQIhOJ, 5712616]
[paragraph, [26.0, 1276.0, 726.0, 36.0], O_z0sQIhOJ, 5712616]
[paragraph, [26.0, 1312.0, 726.0, 36.0], O_z0sQIhOJ, 5712616]
[paragraph, [26.0, 1348.0, 726.0, 36.0], O_z0sQIhOJ, 5712616]
[paragraph, [26.0, 1384.0, 726.0, 36.0], O_z0sQIhOJ, 5712616]
