[576, 360]
[paragraph, [30.0, 60.0, 297.0, 18.0], shoonya_0sYGKJFKLEFAE5, 6516932]
[paragraph, [30.0, 78.0, 297.0, 18.0], shoonya_0sYGKJFKLEFAE5, 6516932]
[paragraph, [30.0, 96.0, 297.0, 18.0], shoonya_0sYGKJFKLEFAE5, 6516932]
[paragraph, [30.0, 114.0, 297.0, 18.0], shoonya_0sYGKJFKLEFAE5, 6516932]
[paragraph, [30.0, 132.0, 297.0, 18.0], shoonya_0sYGKJFKLEFAE5, 6516932]
[paragraph, [30.0, 153.0, 298.0, 18.0], Dcq_578VK0, 6516932]
[paragraph, [30.0, 171.0, 298.0, 18.0], Dcq_578VK0, 6516932]
[paragraph, [30.0, 189.0, 298.0, 18.0], Dcq_578VK0, 6516932]
[paragraph, [30.0, 207.0, 298.0, 18.0], Dcq_578VK0, 6516932]
[paragraph, [28.0, 242.0, 300.0, 18.0], YUv86GRYGD, 6516932]
[paragraph, [28.0, 260.0, 300.0, 18.0], YUv86GRYGD, 6516932]
[paragraph, [28.0, 278.0, 300.0, 18.0], YUv86GRYGD, 6516932]
[paragraph, [28.0, 296.0, 300.0, 18.0], YUv86GRYGD, 6516932]
[paragraph, [28.0, 314.0, 300.0, 18.0], YUv86GRYGD, 6516932]
[paragraph, [28.0, 332.0, 300.0, 18.0], YUv86GRYGD, 6516932]
[paragraph, [28.0, 350.0, 300.0, 18.0], YUv86GRYGD, 6516932]
[paragraph, [28.0, 368.0, 300.0, 18.0], YUv86GRYGD, 6516932]
[paragraph, [28.0, 386.0, 300.0, 18.0], YUv86GRYGD, 6516932]
[paragraph, [28.0, 404.0, 300.0, 18.0], YUv86GRYGD, 6516932]
[paragraph, [28.0, 422.0, 300.0, 18.0], YUv86GRYGD, 6516932]
[paragraph, [28.0, 440.0, 300.0, 18.0], YUv86GRYGD, 6516932]
[paragraph, [28.0, 458.0, 300.0, 18.0], YUv86GRYGD, 6516932]
[paragraph, [28.0, 476.0, 300.0, 18.0], YUv86GRYGD, 6516932]
