[2806, 1983]
[folio, [223.0, 236.0, 1001.0, 46.5], shoonya_0sLVN56T3DGS0X, 5682477]
[folio, [223.0, 282.5, 1001.0, 46.5], shoonya_0sLVN56T3DGS0X, 5682477]
[paragraph, [223.0, 456.0, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 502.5, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 549.0, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 595.5, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 642.0, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 688.5, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 735.0, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 781.5, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 828.0, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 874.5, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 921.0, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 967.5, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 1014.0, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 1060.5, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 1107.0, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 1153.5, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 1200.0, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 1246.5, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 1293.0, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [223.0, 1339.5, 1541.0, 46.5], Qnrkfi8b-r, 5682477]
[paragraph, [218.0, 1492.0, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 1538.5, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 1585.0, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 1631.5, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 1678.0, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 1724.5, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 1771.0, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 1817.5, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 1864.0, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 1910.5, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 1957.0, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 2003.5, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 2050.0, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 2096.5, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 2143.0, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 2189.5, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 2236.0, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 2282.5, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 2329.0, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 2375.5, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 2422.0, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
[paragraph, [218.0, 2468.5, 1549.0, 46.5], Hnn0cVbVKr, 5682477]
