[1300, 900]
[folio, [330.0, 38.0, 247.0, 18.0], shoonya_6sCAAPM0MR62WL, 5731561]
[paragraph, [102.0, 90.0, 709.0, 18.0], shoonya_0sSK6V4CJFMNS4, 5731561]
[paragraph, [102.0, 108.0, 709.0, 18.0], shoonya_0sSK6V4CJFMNS4, 5731561]
[paragraph, [102.0, 126.0, 709.0, 18.0], shoonya_0sSK6V4CJFMNS4, 5731561]
[paragraph, [102.0, 144.0, 709.0, 18.0], shoonya_0sSK6V4CJFMNS4, 5731561]
[paragraph, [102.0, 162.0, 709.0, 18.0], shoonya_0sSK6V4CJFMNS4, 5731561]
[paragraph, [102.0, 180.0, 709.0, 18.0], shoonya_0sSK6V4CJFMNS4, 5731561]
[paragraph, [102.0, 198.0, 709.0, 18.0], shoonya_0sSK6V4CJFMNS4, 5731561]
[paragraph, [102.0, 216.0, 709.0, 18.0], shoonya_0sSK6V4CJFMNS4, 5731561]
[paragraph, [102.0, 234.0, 709.0, 18.0], shoonya_0sSK6V4CJFMNS4, 5731561]
[paragraph, [102.0, 252.0, 709.0, 18.0], shoonya_0sSK6V4CJFMNS4, 5731561]
[paragraph, [102.0, 270.0, 709.0, 18.0], shoonya_0sSK6V4CJFMNS4, 5731561]
[paragraph, [102.0, 288.0, 709.0, 18.0], shoonya_0sSK6V4CJFMNS4, 5731561]
[paragraph, [99.0, 313.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 331.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 349.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 367.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 385.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 403.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 421.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 439.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 457.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 475.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 493.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 511.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 529.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 547.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 565.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 583.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 601.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 619.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 637.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 655.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 673.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 691.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [99.0, 709.0, 714.0, 18.0], shoonya_2sIPAK7PO21V3F, 5731561]
[paragraph, [97.0, 738.0, 718.0, 18.0], shoonya_3s0UD2L01YP7VZ, 5731561]
[paragraph, [97.0, 756.0, 718.0, 18.0], shoonya_3s0UD2L01YP7VZ, 5731561]
[paragraph, [97.0, 774.0, 718.0, 18.0], shoonya_3s0UD2L01YP7VZ, 5731561]
[paragraph, [97.0, 792.0, 718.0, 18.0], shoonya_3s0UD2L01YP7VZ, 5731561]
[paragraph, [97.0, 810.0, 718.0, 18.0], shoonya_3s0UD2L01YP7VZ, 5731561]
[paragraph, [97.0, 828.0, 718.0, 18.0], shoonya_3s0UD2L01YP7VZ, 5731561]
[paragraph, [97.0, 846.0, 718.0, 18.0], shoonya_3s0UD2L01YP7VZ, 5731561]
[paragraph, [97.0, 864.0, 718.0, 18.0], shoonya_3s0UD2L01YP7VZ, 5731561]
[paragraph, [97.0, 882.0, 718.0, 18.0], shoonya_3s0UD2L01YP7VZ, 5731561]
[paragraph, [210.0, 910.0, 491.0, 18.0], shoonya_4s0OOZD0NIRT6G, 5731561]
[paragraph, [210.0, 928.0, 491.0, 18.0], shoonya_4s0OOZD0NIRT6G, 5731561]
[paragraph, [210.0, 946.0, 491.0, 18.0], shoonya_4s0OOZD0NIRT6G, 5731561]
[paragraph, [210.0, 964.0, 491.0, 18.0], shoonya_4s0OOZD0NIRT6G, 5731561]
[paragraph, [97.0, 995.0, 715.0, 18.0], shoonya_1sRCMD0W1WXGJB, 5731561]
[paragraph, [97.0, 1013.0, 715.0, 18.0], shoonya_1sRCMD0W1WXGJB, 5731561]
[paragraph, [97.0, 1031.0, 715.0, 18.0], shoonya_1sRCMD0W1WXGJB, 5731561]
[paragraph, [97.0, 1049.0, 715.0, 18.0], shoonya_1sRCMD0W1WXGJB, 5731561]
[paragraph, [97.0, 1067.0, 715.0, 18.0], shoonya_1sRCMD0W1WXGJB, 5731561]
[paragraph, [97.0, 1085.0, 715.0, 18.0], shoonya_1sRCMD0W1WXGJB, 5731561]
[footnote, [103.0, 1165.0, 707.0, 18.0], EdDtdbsxR7, 5731561]
[footnote, [103.0, 1183.0, 707.0, 18.0], EdDtdbsxR7, 5731561]
[footnote, [103.0, 1201.0, 707.0, 18.0], EdDtdbsxR7, 5731561]
[footnote, [103.0, 1219.0, 707.0, 18.0], EdDtdbsxR7, 5731561]
