[2339, 1654]
[folio, [1314.0, 28.0, 246.0, 36.0], uGrjdM5KDj, 5750337]
[paragraph, [121.0, 76.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 112.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 148.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 184.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 220.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 256.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 292.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 328.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 364.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 400.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 436.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 472.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 508.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 544.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 580.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 616.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 652.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [121.0, 688.0, 1438.0, 36.0], shoonya_3sWEAGX6H9JWA9, 5750337]
[paragraph, [241.0, 717.0, 1170.0, 36.0], e0B35uBSn-, 5750337]
[paragraph, [241.0, 753.0, 1170.0, 36.0], e0B35uBSn-, 5750337]
[paragraph, [241.0, 789.0, 1170.0, 36.0], e0B35uBSn-, 5750337]
[paragraph, [241.0, 825.0, 1170.0, 36.0], e0B35uBSn-, 5750337]
[paragraph, [241.0, 861.0, 1170.0, 36.0], e0B35uBSn-, 5750337]
[paragraph, [241.0, 897.0, 1170.0, 36.0], e0B35uBSn-, 5750337]
[paragraph, [241.0, 933.0, 1170.0, 36.0], e0B35uBSn-, 5750337]
[reference, [997.0, 1000.0, 386.0, 36.0], shoonya_2sIM4OOTYQI7C4, 5750337]
[paragraph, [88.0, 1054.0, 1457.0, 36.0], LVQZILR_yN, 5750337]
[paragraph, [88.0, 1090.0, 1457.0, 36.0], LVQZILR_yN, 5750337]
[paragraph, [88.0, 1126.0, 1457.0, 36.0], LVQZILR_yN, 5750337]
[paragraph, [241.0, 1189.0, 1139.0, 36.0], shoonya_0sTIC8LOVOBSHG, 5750337]
[paragraph, [241.0, 1225.0, 1139.0, 36.0], shoonya_0sTIC8LOVOBSHG, 5750337]
[paragraph, [241.0, 1261.0, 1139.0, 36.0], shoonya_0sTIC8LOVOBSHG, 5750337]
[paragraph, [241.0, 1297.0, 1139.0, 36.0], shoonya_0sTIC8LOVOBSHG, 5750337]
[paragraph, [241.0, 1333.0, 1139.0, 36.0], shoonya_0sTIC8LOVOBSHG, 5750337]
[paragraph, [241.0, 1369.0, 1139.0, 36.0], shoonya_0sTIC8LOVOBSHG, 5750337]
[paragraph, [241.0, 1405.0, 1139.0, 36.0], shoonya_0sTIC8LOVOBSHG, 5750337]
[paragraph, [241.0, 1441.0, 1139.0, 36.0], shoonya_0sTIC8LOVOBSHG, 5750337]
[paragraph, [241.0, 1477.0, 1139.0, 36.0], shoonya_0sTIC8LOVOBSHG, 5750337]
[paragraph, [241.0, 1513.0, 1139.0, 36.0], shoonya_0sTIC8LOVOBSHG, 5750337]
[paragraph, [241.0, 1549.0, 1139.0, 36.0], shoonya_0sTIC8LOVOBSHG, 5750337]
[paragraph, [241.0, 1585.0, 1139.0, 36.0], shoonya_0sTIC8LOVOBSHG, 5750337]
[paragraph, [241.0, 1621.0, 1139.0, 36.0], shoonya_0sTIC8LOVOBSHG, 5750337]
