[1089, 689]
[paragraph, [63.0, 111.0, 556.0, 18.0], shoonya_0sWIAA9R9HB5CA, 5760358]
[paragraph, [63.0, 129.0, 556.0, 18.0], shoonya_0sWIAA9R9HB5CA, 5760358]
[paragraph, [63.0, 147.0, 556.0, 18.0], shoonya_0sWIAA9R9HB5CA, 5760358]
[paragraph, [63.0, 165.0, 556.0, 18.0], shoonya_0sWIAA9R9HB5CA, 5760358]
[paragraph, [63.0, 183.0, 556.0, 18.0], shoonya_0sWIAA9R9HB5CA, 5760358]
[paragraph, [63.0, 201.0, 556.0, 18.0], shoonya_0sWIAA9R9HB5CA, 5760358]
[paragraph, [63.0, 219.0, 556.0, 18.0], shoonya_0sWIAA9R9HB5CA, 5760358]
[paragraph, [63.0, 237.0, 556.0, 18.0], shoonya_0sWIAA9R9HB5CA, 5760358]
[paragraph, [63.0, 255.0, 556.0, 18.0], shoonya_0sWIAA9R9HB5CA, 5760358]
[paragraph, [63.0, 273.0, 556.0, 18.0], shoonya_0sWIAA9R9HB5CA, 5760358]
[paragraph, [63.0, 291.0, 556.0, 18.0], shoonya_0sWIAA9R9HB5CA, 5760358]
[paragraph, [63.0, 309.0, 556.0, 18.0], shoonya_0sWIAA9R9HB5CA, 5760358]
[paragraph, [63.0, 327.0, 556.0, 18.0], shoonya_0sWIAA9R9HB5CA, 5760358]
[paragraph, [65.0, 357.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 375.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 393.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 411.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 429.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 447.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 465.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 483.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 501.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 519.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 537.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 555.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 573.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 591.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 609.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 627.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 645.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 663.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 681.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 699.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 717.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 735.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 753.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 771.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 789.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 807.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 825.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 843.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 861.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 879.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
[paragraph, [65.0, 897.0, 554.0, 18.0], LXlFaa5-eS, 5760358]
