[2339, 1653]
[paragraph, [247.0, 247.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 283.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 319.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 355.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 391.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 427.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 463.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 499.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 535.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 571.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 607.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 643.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 679.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 715.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 751.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 787.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 823.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [247.0, 859.0, 1156.0, 36.0], shoonya_0s4Q3C0LP3B1XB, 5686245]
[paragraph, [245.0, 938.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [245.0, 974.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [245.0, 1010.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [245.0, 1046.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [245.0, 1082.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [245.0, 1118.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [245.0, 1154.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [245.0, 1190.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [245.0, 1226.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [245.0, 1262.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [245.0, 1298.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [245.0, 1334.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [245.0, 1370.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [245.0, 1406.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [245.0, 1442.0, 1159.0, 36.0], shoonya_1s1CBIYSJIHN43, 5686245]
[paragraph, [243.0, 1496.0, 1159.0, 36.0], qvg-dOAWLj, 5686245]
[paragraph, [243.0, 1532.0, 1159.0, 36.0], qvg-dOAWLj, 5686245]
[paragraph, [243.0, 1568.0, 1159.0, 36.0], qvg-dOAWLj, 5686245]
[paragraph, [243.0, 1604.0, 1159.0, 36.0], qvg-dOAWLj, 5686245]
[paragraph, [243.0, 1640.0, 1159.0, 36.0], qvg-dOAWLj, 5686245]
[paragraph, [243.0, 1676.0, 1159.0, 36.0], qvg-dOAWLj, 5686245]
[paragraph, [243.0, 1712.0, 1159.0, 36.0], qvg-dOAWLj, 5686245]
[paragraph, [243.0, 1748.0, 1159.0, 36.0], qvg-dOAWLj, 5686245]
[paragraph, [243.0, 1784.0, 1159.0, 36.0], qvg-dOAWLj, 5686245]
[paragraph, [243.0, 1820.0, 1159.0, 36.0], qvg-dOAWLj, 5686245]
[paragraph, [243.0, 1856.0, 1159.0, 36.0], qvg-dOAWLj, 5686245]
[reference, [246.0, 2011.0, 339.0, 36.0], shoonya_2sCEMUDU5OXEED, 5686245]
[reference, [246.0, 2047.0, 339.0, 36.0], shoonya_2sCEMUDU5OXEED, 5686245]
