[792, 612]
[paragraph, [66.0, 68.0, 482.0, 18.0], shoonya_0sQJ8Y9TEN8ZV0, 5760334]
[paragraph, [66.0, 86.0, 482.0, 18.0], shoonya_0sQJ8Y9TEN8ZV0, 5760334]
[paragraph, [66.0, 104.0, 482.0, 18.0], shoonya_0sQJ8Y9TEN8ZV0, 5760334]
[paragraph, [66.0, 122.0, 482.0, 18.0], shoonya_0sQJ8Y9TEN8ZV0, 5760334]
[paragraph, [66.0, 140.0, 482.0, 18.0], shoonya_0sQJ8Y9TEN8ZV0, 5760334]
[paragraph, [66.0, 158.0, 482.0, 18.0], shoonya_0sQJ8Y9TEN8ZV0, 5760334]
[paragraph, [65.0, 185.0, 481.0, 18.0], oSIU3OkSwd, 5760334]
[paragraph, [65.0, 203.0, 481.0, 18.0], oSIU3OkSwd, 5760334]
[paragraph, [65.0, 221.0, 481.0, 18.0], oSIU3OkSwd, 5760334]
[paragraph, [65.0, 239.0, 481.0, 18.0], oSIU3OkSwd, 5760334]
[paragraph, [65.0, 257.0, 481.0, 18.0], oSIU3OkSwd, 5760334]
[paragraph, [65.0, 275.0, 481.0, 18.0], oSIU3OkSwd, 5760334]
[paragraph, [65.0, 293.0, 481.0, 18.0], oSIU3OkSwd, 5760334]
[paragraph, [65.0, 311.0, 481.0, 18.0], oSIU3OkSwd, 5760334]
[paragraph, [65.0, 329.0, 481.0, 18.0], oSIU3OkSwd, 5760334]
[paragraph, [65.0, 347.0, 481.0, 18.0], oSIU3OkSwd, 5760334]
[paragraph, [65.0, 365.0, 481.0, 18.0], oSIU3OkSwd, 5760334]
[paragraph, [62.0, 401.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 419.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 437.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 455.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 473.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 491.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 509.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 527.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 545.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 563.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 581.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 599.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 617.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 635.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 653.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 671.0, 483.0, 18.0], e210kHUTYi, 5760334]
[paragraph, [62.0, 689.0, 483.0, 18.0], e210kHUTYi, 5760334]
