[1754, 1241]
[section-title, [196.0, 732.0, 851.0, 49.5], shoonya_2sUAYGXJY0JCJ5, 5707052]
[folio, [331.0, 905.0, 573.0, 36.0], 95Lp5yR5N3, 5707052]
[sub-section-title, [163.0, 1006.0, 927.0, 36.0], shoonya_1sQXLIR5R5O81Z, 5707052]
[sub-section-title, [163.0, 1042.0, 927.0, 36.0], shoonya_1sQXLIR5R5O81Z, 5707052]
[sub-section-title, [163.0, 1078.0, 927.0, 36.0], shoonya_1sQXLIR5R5O81Z, 5707052]
[sub-section-title, [163.0, 1114.0, 927.0, 36.0], shoonya_1sQXLIR5R5O81Z, 5707052]
[sub-section-title, [163.0, 1150.0, 927.0, 36.0], shoonya_1sQXLIR5R5O81Z, 5707052]
[sub-section-title, [163.0, 1186.0, 927.0, 36.0], shoonya_1sQXLIR5R5O81Z, 5707052]
[sub-section-title, [163.0, 1222.0, 927.0, 36.0], shoonya_1sQXLIR5R5O81Z, 5707052]
[sub-section-title, [163.0, 1258.0, 927.0, 36.0], shoonya_1sQXLIR5R5O81Z, 5707052]
[sub-section-title, [163.0, 1294.0, 927.0, 36.0], shoonya_1sQXLIR5R5O81Z, 5707052]
[sub-section-title, [163.0, 1330.0, 927.0, 36.0], shoonya_1sQXLIR5R5O81Z, 5707052]
[sub-section-title, [163.0, 1366.0, 927.0, 36.0], shoonya_1sQXLIR5R5O81Z, 5707052]
