[3300, 2550]
[paragraph, [222.0, 262.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 314.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 367.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 419.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 472.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 524.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 577.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 629.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 682.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 734.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 787.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 839.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 892.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 944.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 997.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1049.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1102.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1154.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1207.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1259.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1312.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1364.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1417.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1469.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1522.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1574.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1627.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1679.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1732.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1784.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1837.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1889.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1942.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 1994.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2047.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2099.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2152.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2204.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2257.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2309.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2362.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2414.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2467.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2519.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2572.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2624.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2677.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2729.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2782.0, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
[paragraph, [222.0, 2834.5, 2071.0, 52.5], shoonya_1sZJWA56J8RYB7, 5720141]
