[794, 540]
[paragraph, [27.0, 12.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 30.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 48.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 66.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 84.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 102.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 120.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 138.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 156.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 174.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 192.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 210.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 228.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 246.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 264.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 282.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 300.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 318.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 336.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 354.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 372.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 390.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 408.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 426.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 444.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [27.0, 462.0, 464.0, 18.0], shoonya_1sDOZVPNY0VMV0, 5749145]
[paragraph, [26.0, 544.0, 465.0, 18.0], shoonya_0sTOT3DSPPPO8T, 5749145]
[paragraph, [26.0, 562.0, 465.0, 18.0], shoonya_0sTOT3DSPPPO8T, 5749145]
[paragraph, [26.0, 580.0, 465.0, 18.0], shoonya_0sTOT3DSPPPO8T, 5749145]
[paragraph, [26.0, 598.0, 465.0, 18.0], shoonya_0sTOT3DSPPPO8T, 5749145]
[paragraph, [26.0, 616.0, 465.0, 18.0], shoonya_0sTOT3DSPPPO8T, 5749145]
[paragraph, [26.0, 634.0, 465.0, 18.0], shoonya_0sTOT3DSPPPO8T, 5749145]
[paragraph, [26.0, 652.0, 465.0, 18.0], shoonya_0sTOT3DSPPPO8T, 5749145]
[paragraph, [26.0, 670.0, 465.0, 18.0], shoonya_0sTOT3DSPPPO8T, 5749145]
[paragraph, [26.0, 688.0, 465.0, 18.0], shoonya_0sTOT3DSPPPO8T, 5749145]
