[1388, 886]
[folio, [661.0, 49.0, 183.0, 18.0], 4Uvs7WIKSB, 5742600]
[folio, [661.0, 67.0, 183.0, 18.0], 4Uvs7WIKSB, 5742600]
[folio, [373.0, 57.0, 125.0, 18.0], shoonya_1sJJJC3HI1IUYO, 5742600]
[paragraph, [443.0, 117.0, 406.0, 18.0], KGF7W1ErLb, 5742600]
[paragraph, [443.0, 135.0, 406.0, 18.0], KGF7W1ErLb, 5742600]
[paragraph, [443.0, 153.0, 406.0, 18.0], KGF7W1ErLb, 5742600]
[paragraph, [443.0, 171.0, 406.0, 18.0], KGF7W1ErLb, 5742600]
[paragraph, [443.0, 189.0, 406.0, 18.0], KGF7W1ErLb, 5742600]
[paragraph, [443.0, 207.0, 406.0, 18.0], KGF7W1ErLb, 5742600]
[paragraph, [443.0, 225.0, 406.0, 18.0], KGF7W1ErLb, 5742600]
[paragraph, [443.0, 243.0, 406.0, 18.0], KGF7W1ErLb, 5742600]
[paragraph, [443.0, 261.0, 406.0, 18.0], KGF7W1ErLb, 5742600]
[paragraph, [443.0, 279.0, 406.0, 18.0], KGF7W1ErLb, 5742600]
[paragraph, [443.0, 297.0, 406.0, 18.0], KGF7W1ErLb, 5742600]
[paragraph, [31.0, 124.0, 372.0, 18.0], OjRGkS4NgY, 5742600]
[paragraph, [31.0, 142.0, 372.0, 18.0], OjRGkS4NgY, 5742600]
[paragraph, [31.0, 160.0, 372.0, 18.0], OjRGkS4NgY, 5742600]
[paragraph, [31.0, 178.0, 372.0, 18.0], OjRGkS4NgY, 5742600]
[paragraph, [31.0, 196.0, 372.0, 18.0], OjRGkS4NgY, 5742600]
[paragraph, [31.0, 214.0, 372.0, 18.0], OjRGkS4NgY, 5742600]
[paragraph, [31.0, 232.0, 372.0, 18.0], OjRGkS4NgY, 5742600]
[paragraph, [53.0, 265.0, 385.0, 18.0], mlOqW1pH8C, 5742600]
[paragraph, [53.0, 283.0, 385.0, 18.0], mlOqW1pH8C, 5742600]
[paragraph, [53.0, 301.0, 385.0, 18.0], mlOqW1pH8C, 5742600]
[paragraph, [53.0, 319.0, 385.0, 18.0], mlOqW1pH8C, 5742600]
[paragraph, [53.0, 337.0, 385.0, 18.0], mlOqW1pH8C, 5742600]
[paragraph, [53.0, 355.0, 385.0, 18.0], mlOqW1pH8C, 5742600]
