[2339, 1653]
[paragraph, [141.0, 147.0, 1373.0, 36.0], shoonya_0sAYSKLIY4S49Y, 5752274]
[paragraph, [141.0, 183.0, 1373.0, 36.0], shoonya_0sAYSKLIY4S49Y, 5752274]
[paragraph, [141.0, 219.0, 1373.0, 36.0], shoonya_0sAYSKLIY4S49Y, 5752274]
[paragraph, [141.0, 255.0, 1373.0, 36.0], shoonya_0sAYSKLIY4S49Y, 5752274]
[paragraph, [141.0, 291.0, 1373.0, 36.0], shoonya_0sAYSKLIY4S49Y, 5752274]
[paragraph, [141.0, 327.0, 1373.0, 36.0], shoonya_0sAYSKLIY4S49Y, 5752274]
[paragraph, [141.0, 363.0, 1373.0, 36.0], shoonya_0sAYSKLIY4S49Y, 5752274]
[paragraph, [141.0, 399.0, 1373.0, 36.0], shoonya_0sAYSKLIY4S49Y, 5752274]
[paragraph, [141.0, 435.0, 1373.0, 36.0], shoonya_0sAYSKLIY4S49Y, 5752274]
[paragraph, [136.0, 512.0, 1394.0, 36.0], qJpADh8lfo, 5752274]
[paragraph, [136.0, 548.0, 1394.0, 36.0], qJpADh8lfo, 5752274]
[paragraph, [136.0, 584.0, 1394.0, 36.0], qJpADh8lfo, 5752274]
[paragraph, [136.0, 620.0, 1394.0, 36.0], qJpADh8lfo, 5752274]
[paragraph, [136.0, 656.0, 1394.0, 36.0], qJpADh8lfo, 5752274]
[paragraph, [136.0, 692.0, 1394.0, 36.0], qJpADh8lfo, 5752274]
[paragraph, [136.0, 728.0, 1394.0, 36.0], qJpADh8lfo, 5752274]
[paragraph, [136.0, 764.0, 1394.0, 36.0], qJpADh8lfo, 5752274]
[paragraph, [136.0, 800.0, 1394.0, 36.0], qJpADh8lfo, 5752274]
[paragraph, [136.0, 836.0, 1394.0, 36.0], qJpADh8lfo, 5752274]
[paragraph, [136.0, 872.0, 1394.0, 36.0], qJpADh8lfo, 5752274]
[paragraph, [132.0, 977.0, 543.0, 36.0], OckTZ9h3sm, 5752274]
[paragraph, [132.0, 1013.0, 543.0, 36.0], OckTZ9h3sm, 5752274]
[paragraph, [138.0, 1090.0, 1376.0, 36.0], jqEbiaCrbC, 5752274]
[paragraph, [138.0, 1126.0, 1376.0, 36.0], jqEbiaCrbC, 5752274]
[paragraph, [138.0, 1162.0, 1376.0, 36.0], jqEbiaCrbC, 5752274]
[paragraph, [138.0, 1198.0, 1376.0, 36.0], jqEbiaCrbC, 5752274]
[paragraph, [140.0, 1293.0, 1367.0, 36.0], UUI1xk5Dh1, 5752274]
[paragraph, [140.0, 1329.0, 1367.0, 36.0], UUI1xk5Dh1, 5752274]
[paragraph, [140.0, 1365.0, 1367.0, 36.0], UUI1xk5Dh1, 5752274]
[paragraph, [140.0, 1401.0, 1367.0, 36.0], UUI1xk5Dh1, 5752274]
[paragraph, [144.0, 1493.0, 644.0, 36.0], ju3Br8Y8Z8, 5752274]
[paragraph, [144.0, 1529.0, 644.0, 36.0], ju3Br8Y8Z8, 5752274]
[paragraph, [136.0, 1613.0, 1380.0, 36.0], JpooxZrShg, 5752274]
[paragraph, [136.0, 1649.0, 1380.0, 36.0], JpooxZrShg, 5752274]
[paragraph, [136.0, 1685.0, 1380.0, 36.0], JpooxZrShg, 5752274]
[paragraph, [136.0, 1721.0, 1380.0, 36.0], JpooxZrShg, 5752274]
[paragraph, [136.0, 1757.0, 1380.0, 36.0], JpooxZrShg, 5752274]
[paragraph, [136.0, 1793.0, 1380.0, 36.0], JpooxZrShg, 5752274]
[paragraph, [136.0, 1829.0, 1380.0, 36.0], JpooxZrShg, 5752274]
[paragraph, [144.0, 1909.0, 956.0, 36.0], xaQMlX_30f, 5752274]
[paragraph, [144.0, 1945.0, 956.0, 36.0], xaQMlX_30f, 5752274]
