[576, 360]
[author, [111.0, 94.0, 138.0, 18.0], MX44Suo2Qu, 6514877]
[paragraph, [33.0, 252.0, 295.0, 18.0], OWJvs6pcgz, 6514877]
[paragraph, [33.0, 270.0, 295.0, 18.0], OWJvs6pcgz, 6514877]
[paragraph, [33.0, 288.0, 295.0, 18.0], OWJvs6pcgz, 6514877]
[paragraph, [33.0, 306.0, 295.0, 18.0], OWJvs6pcgz, 6514877]
[paragraph, [33.0, 324.0, 295.0, 18.0], OWJvs6pcgz, 6514877]
[paragraph, [33.0, 342.0, 295.0, 18.0], OWJvs6pcgz, 6514877]
[paragraph, [32.0, 414.0, 295.0, 18.0], shoonya_3s4ABLYTIFQGRB, 6514877]
[paragraph, [32.0, 447.0, 296.0, 18.0], _se-pcoatw, 6514877]
[paragraph, [32.0, 465.0, 296.0, 18.0], _se-pcoatw, 6514877]
[paragraph, [32.0, 483.0, 296.0, 18.0], _se-pcoatw, 6514877]
[paragraph, [32.0, 501.0, 296.0, 18.0], _se-pcoatw, 6514877]
