[737, 581]
[website-link, [215.0, 19.0, 135.0, 18.0], xQ9terf802, 5739542]
[paragraph, [49.0, 40.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[paragraph, [49.0, 58.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[paragraph, [49.0, 76.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[paragraph, [49.0, 94.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[paragraph, [49.0, 112.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[paragraph, [49.0, 130.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[paragraph, [49.0, 148.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[paragraph, [49.0, 166.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[paragraph, [49.0, 184.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[paragraph, [49.0, 202.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[paragraph, [49.0, 220.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[paragraph, [49.0, 238.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[paragraph, [49.0, 256.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[paragraph, [49.0, 274.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[paragraph, [49.0, 292.0, 244.0, 18.0], bJkEL4tE4p, 5739542]
[ordered-list, [295.0, 43.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 61.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 79.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 97.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 115.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 133.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 151.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 169.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 187.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 205.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 223.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 241.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 259.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 277.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 295.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 313.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 331.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 349.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 367.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 385.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 403.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 421.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 439.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 457.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 475.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 493.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 511.0, 256.0, 18.0], UZJKyohx6r, 5739542]
[ordered-list, [295.0, 529.0, 256.0, 18.0], UZJKyohx6r, 5739542]
