[1755, 1241]
[folio, [179.0, 90.0, 445.0, 36.0], xG5loFnXXb, 5760478]
[paragraph, [257.0, 153.0, 665.0, 36.0], 9L5AXAAuKm, 5760478]
[paragraph, [257.0, 189.0, 665.0, 36.0], 9L5AXAAuKm, 5760478]
[paragraph, [257.0, 225.0, 665.0, 36.0], 9L5AXAAuKm, 5760478]
[paragraph, [257.0, 261.0, 665.0, 36.0], 9L5AXAAuKm, 5760478]
[paragraph, [189.0, 316.0, 807.0, 36.0], shoonya_2s5RZNPTQVAZME, 5760478]
[paragraph, [189.0, 352.0, 807.0, 36.0], shoonya_2s5RZNPTQVAZME, 5760478]
[paragraph, [189.0, 388.0, 807.0, 36.0], shoonya_2s5RZNPTQVAZME, 5760478]
[paragraph, [186.0, 439.0, 809.0, 36.0], shoonya_3sAL6JWBZHT5JT, 5760478]
[paragraph, [186.0, 475.0, 809.0, 36.0], shoonya_3sAL6JWBZHT5JT, 5760478]
[paragraph, [186.0, 511.0, 809.0, 36.0], shoonya_3sAL6JWBZHT5JT, 5760478]
[paragraph, [186.0, 574.0, 814.0, 36.0], U2I1YSODOh, 5760478]
[paragraph, [186.0, 610.0, 814.0, 36.0], U2I1YSODOh, 5760478]
[paragraph, [186.0, 646.0, 814.0, 36.0], U2I1YSODOh, 5760478]
[paragraph, [186.0, 682.0, 814.0, 36.0], U2I1YSODOh, 5760478]
[paragraph, [186.0, 718.0, 814.0, 36.0], U2I1YSODOh, 5760478]
[paragraph, [186.0, 754.0, 814.0, 36.0], U2I1YSODOh, 5760478]
[paragraph, [186.0, 790.0, 814.0, 36.0], U2I1YSODOh, 5760478]
[paragraph, [186.0, 826.0, 814.0, 36.0], U2I1YSODOh, 5760478]
[paragraph, [181.0, 889.0, 820.0, 36.0], fMsqkX10ie, 5760478]
[paragraph, [181.0, 925.0, 820.0, 36.0], fMsqkX10ie, 5760478]
[paragraph, [181.0, 961.0, 820.0, 36.0], fMsqkX10ie, 5760478]
[paragraph, [181.0, 997.0, 820.0, 36.0], fMsqkX10ie, 5760478]
[paragraph, [181.0, 1033.0, 820.0, 36.0], fMsqkX10ie, 5760478]
[paragraph, [192.0, 1090.0, 811.0, 36.0], OGCCfQGbSH, 5760478]
[paragraph, [192.0, 1126.0, 811.0, 36.0], OGCCfQGbSH, 5760478]
[paragraph, [192.0, 1162.0, 811.0, 36.0], OGCCfQGbSH, 5760478]
[paragraph, [192.0, 1198.0, 811.0, 36.0], OGCCfQGbSH, 5760478]
[paragraph, [192.0, 1234.0, 811.0, 36.0], OGCCfQGbSH, 5760478]
[paragraph, [198.0, 1301.0, 807.0, 36.0], shoonya_4s3A7LW9K81Q4W, 5760478]
[paragraph, [198.0, 1337.0, 807.0, 36.0], shoonya_4s3A7LW9K81Q4W, 5760478]
[paragraph, [198.0, 1373.0, 807.0, 36.0], shoonya_4s3A7LW9K81Q4W, 5760478]
[paragraph, [198.0, 1409.0, 807.0, 36.0], shoonya_4s3A7LW9K81Q4W, 5760478]
[paragraph, [274.0, 1525.0, 541.0, 36.0], FC-F7UQYe6, 5760478]
[paragraph, [274.0, 1561.0, 541.0, 36.0], FC-F7UQYe6, 5760478]
[paragraph, [274.0, 1597.0, 541.0, 36.0], FC-F7UQYe6, 5760478]
