[1792, 1278]
[folio, [551.0, 36.0, 175.0, 36.0], q0h008V0B6, 5744712]
[headline, [315.0, 106.0, 650.0, 37.5], shoonya_13sLZRSL3MW2C1, 5744712]
[headline, [315.0, 143.5, 650.0, 37.5], shoonya_13sLZRSL3MW2C1, 5744712]
[headline, [315.0, 181.0, 650.0, 37.5], shoonya_13sLZRSL3MW2C1, 5744712]
[sub-headline, [370.0, 242.0, 555.0, 36.0], vsErP6Erl_, 5744712]
[paragraph, [583.0, 371.0, 557.0, 36.0], shoonya_10sIRW4BCPU9LM, 5744712]
[paragraph, [583.0, 407.0, 557.0, 36.0], shoonya_10sIRW4BCPU9LM, 5744712]
[paragraph, [583.0, 443.0, 557.0, 36.0], shoonya_10sIRW4BCPU9LM, 5744712]
[paragraph, [581.0, 492.0, 558.0, 36.0], shoonya_9s5T3UCV6T2QCX, 5744712]
[paragraph, [581.0, 528.0, 558.0, 36.0], shoonya_9s5T3UCV6T2QCX, 5744712]
[paragraph, [581.0, 564.0, 558.0, 36.0], shoonya_9s5T3UCV6T2QCX, 5744712]
[paragraph, [581.0, 600.0, 558.0, 36.0], shoonya_9s5T3UCV6T2QCX, 5744712]
[paragraph, [581.0, 636.0, 558.0, 36.0], shoonya_9s5T3UCV6T2QCX, 5744712]
[paragraph, [581.0, 672.0, 558.0, 36.0], shoonya_9s5T3UCV6T2QCX, 5744712]
[paragraph, [112.0, 818.0, 568.0, 36.0], shoonya_14s8S4HCK8PX68, 5744712]
[paragraph, [112.0, 854.0, 568.0, 36.0], shoonya_14s8S4HCK8PX68, 5744712]
[paragraph, [112.0, 890.0, 568.0, 36.0], shoonya_14s8S4HCK8PX68, 5744712]
[paragraph, [122.0, 959.0, 555.0, 36.0], shoonya_8sN4JDRVPYY5VN, 5744712]
[paragraph, [122.0, 995.0, 555.0, 36.0], shoonya_8sN4JDRVPYY5VN, 5744712]
[paragraph, [122.0, 1031.0, 555.0, 36.0], shoonya_8sN4JDRVPYY5VN, 5744712]
[paragraph, [122.0, 1067.0, 555.0, 36.0], shoonya_8sN4JDRVPYY5VN, 5744712]
[paragraph, [122.0, 1103.0, 555.0, 36.0], shoonya_8sN4JDRVPYY5VN, 5744712]
[paragraph, [122.0, 1139.0, 555.0, 36.0], shoonya_8sN4JDRVPYY5VN, 5744712]
[paragraph, [632.0, 1335.0, 553.0, 36.0], shoonya_7sD80MJVNDUO00, 5744712]
[paragraph, [632.0, 1371.0, 553.0, 36.0], shoonya_7sD80MJVNDUO00, 5744712]
[paragraph, [632.0, 1407.0, 553.0, 36.0], shoonya_7sD80MJVNDUO00, 5744712]
[paragraph, [632.0, 1443.0, 553.0, 36.0], shoonya_7sD80MJVNDUO00, 5744712]
[paragraph, [632.0, 1479.0, 553.0, 36.0], shoonya_7sD80MJVNDUO00, 5744712]
[paragraph, [632.0, 1515.0, 553.0, 36.0], shoonya_7sD80MJVNDUO00, 5744712]
[paragraph, [632.0, 1551.0, 553.0, 36.0], shoonya_7sD80MJVNDUO00, 5744712]
[paragraph, [632.0, 1587.0, 553.0, 36.0], shoonya_7sD80MJVNDUO00, 5744712]
