[1447, 1063]
[folio, [96.0, 79.0, 871.0, 18.0], I_sy7CJ0G3, 5762850]
[folio, [96.0, 97.0, 871.0, 18.0], I_sy7CJ0G3, 5762850]
[folio, [96.0, 115.0, 871.0, 18.0], I_sy7CJ0G3, 5762850]
[folio, [96.0, 133.0, 871.0, 18.0], I_sy7CJ0G3, 5762850]
[folio, [96.0, 151.0, 871.0, 18.0], I_sy7CJ0G3, 5762850]
[folio, [96.0, 169.0, 871.0, 18.0], I_sy7CJ0G3, 5762850]
[folio, [96.0, 187.0, 871.0, 18.0], I_sy7CJ0G3, 5762850]
[folio, [96.0, 205.0, 871.0, 18.0], I_sy7CJ0G3, 5762850]
[folio, [96.0, 223.0, 871.0, 18.0], I_sy7CJ0G3, 5762850]
[paragraph, [81.0, 968.0, 896.0, 18.0], shoonya_3sASIC7KZK3IRD, 5762850]
[paragraph, [81.0, 986.0, 896.0, 18.0], shoonya_3sASIC7KZK3IRD, 5762850]
[paragraph, [81.0, 1004.0, 896.0, 18.0], shoonya_3sASIC7KZK3IRD, 5762850]
[paragraph, [81.0, 1022.0, 896.0, 18.0], shoonya_3sASIC7KZK3IRD, 5762850]
[paragraph, [81.0, 1040.0, 896.0, 18.0], shoonya_3sASIC7KZK3IRD, 5762850]
[paragraph, [81.0, 1058.0, 896.0, 18.0], shoonya_3sASIC7KZK3IRD, 5762850]
[paragraph, [81.0, 1076.0, 896.0, 18.0], shoonya_3sASIC7KZK3IRD, 5762850]
[paragraph, [81.0, 1094.0, 896.0, 18.0], shoonya_3sASIC7KZK3IRD, 5762850]
[paragraph, [81.0, 1112.0, 896.0, 18.0], shoonya_3sASIC7KZK3IRD, 5762850]
[paragraph, [81.0, 1130.0, 896.0, 18.0], shoonya_3sASIC7KZK3IRD, 5762850]
[paragraph, [81.0, 1148.0, 896.0, 18.0], shoonya_3sASIC7KZK3IRD, 5762850]
[paragraph, [81.0, 1166.0, 896.0, 18.0], shoonya_3sASIC7KZK3IRD, 5762850]
[paragraph, [81.0, 1184.0, 896.0, 18.0], shoonya_3sASIC7KZK3IRD, 5762850]
[contact-info, [216.0, 1236.0, 619.0, 18.0], aEzVqkqlc2, 5762850]
[contact-info, [216.0, 1254.0, 619.0, 18.0], aEzVqkqlc2, 5762850]
[contact-info, [216.0, 1272.0, 619.0, 18.0], aEzVqkqlc2, 5762850]
[contact-info, [216.0, 1290.0, 619.0, 18.0], aEzVqkqlc2, 5762850]
[contact-info, [216.0, 1308.0, 619.0, 18.0], aEzVqkqlc2, 5762850]
[contact-info, [216.0, 1326.0, 619.0, 18.0], aEzVqkqlc2, 5762850]
[contact-info, [216.0, 1344.0, 619.0, 18.0], aEzVqkqlc2, 5762850]
[contact-info, [216.0, 1362.0, 619.0, 18.0], aEzVqkqlc2, 5762850]
[website-link, [526.0, 1351.0, 313.0, 18.0], uEoM3GAAMo, 5762850]
[website-link, [526.0, 1369.0, 313.0, 18.0], uEoM3GAAMo, 5762850]
