[1387, 987]
[paragraph, [80.0, 70.0, 823.0, 18.0], shoonya_1sRTZLK7AZSEAS, 5651966]
[paragraph, [80.0, 88.0, 823.0, 18.0], shoonya_1sRTZLK7AZSEAS, 5651966]
[paragraph, [80.0, 106.0, 823.0, 18.0], shoonya_1sRTZLK7AZSEAS, 5651966]
[paragraph, [80.0, 124.0, 823.0, 18.0], shoonya_1sRTZLK7AZSEAS, 5651966]
[paragraph, [80.0, 142.0, 823.0, 18.0], shoonya_1sRTZLK7AZSEAS, 5651966]
[paragraph, [80.0, 160.0, 823.0, 18.0], shoonya_1sRTZLK7AZSEAS, 5651966]
[paragraph, [80.0, 178.0, 823.0, 18.0], shoonya_1sRTZLK7AZSEAS, 5651966]
[paragraph, [80.0, 196.0, 823.0, 18.0], shoonya_1sRTZLK7AZSEAS, 5651966]
[paragraph, [80.0, 214.0, 823.0, 18.0], shoonya_1sRTZLK7AZSEAS, 5651966]
[paragraph, [80.0, 232.0, 823.0, 18.0], shoonya_1sRTZLK7AZSEAS, 5651966]
[paragraph, [80.0, 250.0, 823.0, 18.0], shoonya_1sRTZLK7AZSEAS, 5651966]
[paragraph, [71.0, 276.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 294.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 312.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 330.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 348.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 366.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 384.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 402.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 420.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 438.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 456.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 474.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 492.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 510.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 528.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 546.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 564.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 582.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 600.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [71.0, 618.0, 819.0, 18.0], 3bsv-jO9ct, 5651966]
[paragraph, [64.0, 642.0, 846.0, 18.0], shoonya_0sOA8ZSRQ8WGEN, 5651966]
[paragraph, [64.0, 660.0, 846.0, 18.0], shoonya_0sOA8ZSRQ8WGEN, 5651966]
[paragraph, [64.0, 678.0, 846.0, 18.0], shoonya_0sOA8ZSRQ8WGEN, 5651966]
[paragraph, [64.0, 696.0, 846.0, 18.0], shoonya_0sOA8ZSRQ8WGEN, 5651966]
[paragraph, [64.0, 714.0, 846.0, 18.0], shoonya_0sOA8ZSRQ8WGEN, 5651966]
[paragraph, [64.0, 732.0, 846.0, 18.0], shoonya_0sOA8ZSRQ8WGEN, 5651966]
[paragraph, [64.0, 750.0, 846.0, 18.0], shoonya_0sOA8ZSRQ8WGEN, 5651966]
[paragraph, [64.0, 768.0, 846.0, 18.0], shoonya_0sOA8ZSRQ8WGEN, 5651966]
[paragraph, [64.0, 786.0, 846.0, 18.0], shoonya_0sOA8ZSRQ8WGEN, 5651966]
[paragraph, [64.0, 804.0, 846.0, 18.0], shoonya_0sOA8ZSRQ8WGEN, 5651966]
[paragraph, [64.0, 822.0, 846.0, 18.0], shoonya_0sOA8ZSRQ8WGEN, 5651966]
[paragraph, [64.0, 840.0, 846.0, 18.0], shoonya_0sOA8ZSRQ8WGEN, 5651966]
[paragraph, [64.0, 858.0, 846.0, 18.0], shoonya_0sOA8ZSRQ8WGEN, 5651966]
