[1447, 1063]
[folio, [431.0, 54.0, 196.0, 18.0], FKUJ4NFAVc, 5762340]
[headline, [91.0, 93.0, 880.0, 25.5], R37rhnIyrf, 5762340]
[headline, [91.0, 118.5, 880.0, 25.5], R37rhnIyrf, 5762340]
[headline, [91.0, 144.0, 880.0, 25.5], R37rhnIyrf, 5762340]
[headline, [91.0, 169.5, 880.0, 25.5], R37rhnIyrf, 5762340]
[paragraph, [536.0, 219.0, 436.0, 18.0], XIM8ddXPnN, 5762340]
[paragraph, [536.0, 237.0, 436.0, 18.0], XIM8ddXPnN, 5762340]
[paragraph, [536.0, 255.0, 436.0, 18.0], XIM8ddXPnN, 5762340]
[paragraph, [536.0, 273.0, 436.0, 18.0], XIM8ddXPnN, 5762340]
[paragraph, [90.0, 220.0, 432.0, 18.0], SHLaThudOO, 5762340]
[paragraph, [90.0, 238.0, 432.0, 18.0], SHLaThudOO, 5762340]
[paragraph, [90.0, 256.0, 432.0, 18.0], SHLaThudOO, 5762340]
[paragraph, [90.0, 274.0, 432.0, 18.0], SHLaThudOO, 5762340]
[paragraph, [90.0, 292.0, 432.0, 18.0], SHLaThudOO, 5762340]
[paragraph, [90.0, 310.0, 432.0, 18.0], SHLaThudOO, 5762340]
[paragraph, [90.0, 328.0, 432.0, 18.0], SHLaThudOO, 5762340]
[paragraph, [90.0, 346.0, 432.0, 18.0], SHLaThudOO, 5762340]
[paragraph, [90.0, 364.0, 432.0, 18.0], SHLaThudOO, 5762340]
[paragraph, [536.0, 311.0, 429.0, 18.0], LmZrp2syN0, 5762340]
[paragraph, [536.0, 329.0, 429.0, 18.0], LmZrp2syN0, 5762340]
[paragraph, [536.0, 347.0, 429.0, 18.0], LmZrp2syN0, 5762340]
[paragraph, [536.0, 365.0, 429.0, 18.0], LmZrp2syN0, 5762340]
[paragraph, [536.0, 383.0, 429.0, 18.0], LmZrp2syN0, 5762340]
[paragraph, [536.0, 401.0, 429.0, 18.0], LmZrp2syN0, 5762340]
[paragraph, [536.0, 419.0, 429.0, 18.0], LmZrp2syN0, 5762340]
[paragraph, [536.0, 437.0, 429.0, 18.0], LmZrp2syN0, 5762340]
[paragraph, [536.0, 455.0, 429.0, 18.0], LmZrp2syN0, 5762340]
[paragraph, [536.0, 473.0, 429.0, 18.0], LmZrp2syN0, 5762340]
[paragraph, [536.0, 491.0, 429.0, 18.0], LmZrp2syN0, 5762340]
[paragraph, [91.0, 408.0, 431.0, 18.0], yLvgjewhF3, 5762340]
[paragraph, [91.0, 426.0, 431.0, 18.0], yLvgjewhF3, 5762340]
[paragraph, [91.0, 444.0, 431.0, 18.0], yLvgjewhF3, 5762340]
[paragraph, [91.0, 462.0, 431.0, 18.0], yLvgjewhF3, 5762340]
[paragraph, [91.0, 480.0, 431.0, 18.0], yLvgjewhF3, 5762340]
[paragraph, [91.0, 498.0, 431.0, 18.0], yLvgjewhF3, 5762340]
[paragraph, [91.0, 516.0, 431.0, 18.0], yLvgjewhF3, 5762340]
[paragraph, [91.0, 534.0, 431.0, 18.0], yLvgjewhF3, 5762340]
[paragraph, [91.0, 552.0, 431.0, 18.0], yLvgjewhF3, 5762340]
[paragraph, [534.0, 533.0, 437.0, 18.0], U2cAf8AD14, 5762340]
[paragraph, [534.0, 551.0, 437.0, 18.0], U2cAf8AD14, 5762340]
[paragraph, [534.0, 569.0, 437.0, 18.0], U2cAf8AD14, 5762340]
[paragraph, [534.0, 587.0, 437.0, 18.0], U2cAf8AD14, 5762340]
[paragraph, [534.0, 605.0, 437.0, 18.0], U2cAf8AD14, 5762340]
[paragraph, [534.0, 623.0, 437.0, 18.0], U2cAf8AD14, 5762340]
[paragraph, [534.0, 641.0, 437.0, 18.0], U2cAf8AD14, 5762340]
[paragraph, [534.0, 659.0, 437.0, 18.0], U2cAf8AD14, 5762340]
[paragraph, [534.0, 677.0, 437.0, 18.0], U2cAf8AD14, 5762340]
[paragraph, [534.0, 695.0, 437.0, 18.0], U2cAf8AD14, 5762340]
[paragraph, [534.0, 713.0, 437.0, 18.0], U2cAf8AD14, 5762340]
[paragraph, [91.0, 602.0, 432.0, 18.0], Q9JCz3vpJ9, 5762340]
[paragraph, [91.0, 620.0, 432.0, 18.0], Q9JCz3vpJ9, 5762340]
[paragraph, [91.0, 638.0, 432.0, 18.0], Q9JCz3vpJ9, 5762340]
[paragraph, [91.0, 656.0, 432.0, 18.0], Q9JCz3vpJ9, 5762340]
[paragraph, [91.0, 674.0, 432.0, 18.0], Q9JCz3vpJ9, 5762340]
[paragraph, [91.0, 692.0, 432.0, 18.0], Q9JCz3vpJ9, 5762340]
[paragraph, [91.0, 710.0, 432.0, 18.0], Q9JCz3vpJ9, 5762340]
[paragraph, [91.0, 728.0, 432.0, 18.0], Q9JCz3vpJ9, 5762340]
[paragraph, [91.0, 746.0, 432.0, 18.0], Q9JCz3vpJ9, 5762340]
[paragraph, [91.0, 764.0, 432.0, 18.0], Q9JCz3vpJ9, 5762340]
