[2339, 1656]
[paragraph, [855.0, 99.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 135.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 171.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 207.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 243.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 279.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 315.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 351.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 387.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 423.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 459.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 495.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 531.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 567.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 603.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 639.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 675.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 711.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 747.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 783.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 819.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 855.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 891.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 927.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 963.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
[paragraph, [855.0, 999.0, 699.0, 36.0], shoonya_5sZQZCDJTBHQ6T, 5750070]
