[1650, 1275]
[paragraph, [197.0, 131.0, 874.0, 36.0], shoonya_2sSXFKX2QU12O4, 5715018]
[paragraph, [197.0, 167.0, 874.0, 36.0], shoonya_2sSXFKX2QU12O4, 5715018]
[paragraph, [196.0, 234.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 270.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 306.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 342.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 378.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 414.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 450.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 486.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 522.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 558.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 594.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 630.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 666.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 702.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 738.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 774.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 810.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 846.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 882.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 918.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 954.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [196.0, 990.0, 882.0, 36.0], vk37F1JMnf, 5715018]
[paragraph, [193.0, 1030.0, 887.0, 36.0], YDkRHcHhha, 5715018]
[paragraph, [193.0, 1066.0, 887.0, 36.0], YDkRHcHhha, 5715018]
[paragraph, [193.0, 1102.0, 887.0, 36.0], YDkRHcHhha, 5715018]
[paragraph, [193.0, 1138.0, 887.0, 36.0], YDkRHcHhha, 5715018]
[paragraph, [193.0, 1174.0, 887.0, 36.0], YDkRHcHhha, 5715018]
[paragraph, [193.0, 1210.0, 887.0, 36.0], YDkRHcHhha, 5715018]
[paragraph, [301.0, 1276.0, 438.0, 36.0], gj_De1YzdP, 5715018]
[paragraph, [301.0, 1312.0, 438.0, 36.0], gj_De1YzdP, 5715018]
[footnote, [202.0, 1432.0, 283.0, 36.0], shoonya_0sHPZR65U9ENSN, 5715018]
