[1650, 1275]
[chapter-title, [298.0, 324.5, 158.0, 58.5], shoonya_3sTA9BA0ZBLB3H, 5758950]
[section-title, [575.0, 314.0, 354.0, 49.5], EDWFMeegaS, 5758950]
[section-title, [575.0, 363.5, 354.0, 49.5], EDWFMeegaS, 5758950]
[paragraph, [246.0, 853.0, 831.0, 36.0], shoonya_1sVODAE0IS1RIH, 5758950]
[paragraph, [246.0, 889.0, 831.0, 36.0], shoonya_1sVODAE0IS1RIH, 5758950]
[paragraph, [246.0, 925.0, 831.0, 36.0], shoonya_1sVODAE0IS1RIH, 5758950]
[paragraph, [246.0, 961.0, 831.0, 36.0], shoonya_1sVODAE0IS1RIH, 5758950]
[paragraph, [246.0, 997.0, 831.0, 36.0], shoonya_1sVODAE0IS1RIH, 5758950]
[paragraph, [246.0, 1033.0, 831.0, 36.0], shoonya_1sVODAE0IS1RIH, 5758950]
[paragraph, [246.0, 1069.0, 831.0, 36.0], shoonya_1sVODAE0IS1RIH, 5758950]
[paragraph, [246.0, 1105.0, 831.0, 36.0], shoonya_1sVODAE0IS1RIH, 5758950]
[paragraph, [242.0, 1183.0, 843.0, 36.0], shoonya_6s4YUD40MEDC7S, 5758950]
[paragraph, [242.0, 1219.0, 843.0, 36.0], shoonya_6s4YUD40MEDC7S, 5758950]
[paragraph, [247.0, 1291.0, 843.0, 36.0], JLPaQDraAi, 5758950]
[paragraph, [247.0, 1327.0, 843.0, 36.0], JLPaQDraAi, 5758950]
[paragraph, [247.0, 1363.0, 843.0, 36.0], JLPaQDraAi, 5758950]
