[1650, 1275]
[ordered-list, [94.0, 119.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 155.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 191.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 227.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 263.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 299.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 335.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 371.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 407.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 443.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 479.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 515.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 551.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 587.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 623.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 659.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 695.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 731.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 767.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 803.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 839.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 875.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 911.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 947.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 983.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 1019.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
[ordered-list, [94.0, 1055.0, 1064.0, 36.0], fLIVcKm6YF, 6475616]
