[1387, 987]
[paragraph, [87.0, 98.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 116.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 134.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 152.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 170.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 188.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 206.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 224.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 242.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 260.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 278.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 296.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 314.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 332.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 350.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 368.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 386.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 404.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 422.0, 845.0, 18.0], 8lWwfr8uSn, 5652957]
[paragraph, [87.0, 455.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [87.0, 473.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [87.0, 491.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [87.0, 509.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [87.0, 527.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [87.0, 545.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [87.0, 563.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [87.0, 581.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [87.0, 599.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [87.0, 617.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [87.0, 635.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [87.0, 653.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [87.0, 671.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [87.0, 689.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [87.0, 707.0, 829.0, 18.0], fzGZ0E2c6j, 5652957]
[paragraph, [88.0, 749.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 767.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 785.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 803.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 821.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 839.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 857.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 875.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 893.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 911.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 929.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 947.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 965.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 983.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 1001.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 1019.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 1037.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 1055.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [88.0, 1073.0, 803.0, 18.0], shoonya_0sLTWKKZIA7FYM, 5652957]
[paragraph, [87.0, 1119.0, 783.0, 18.0], z8EgAud5yX, 5652957]
[paragraph, [87.0, 1137.0, 783.0, 18.0], z8EgAud5yX, 5652957]
[paragraph, [87.0, 1155.0, 783.0, 18.0], z8EgAud5yX, 5652957]
[paragraph, [87.0, 1173.0, 783.0, 18.0], z8EgAud5yX, 5652957]
[paragraph, [87.0, 1191.0, 783.0, 18.0], z8EgAud5yX, 5652957]
[paragraph, [87.0, 1209.0, 783.0, 18.0], z8EgAud5yX, 5652957]
[paragraph, [87.0, 1227.0, 783.0, 18.0], z8EgAud5yX, 5652957]
[paragraph, [87.0, 1245.0, 783.0, 18.0], z8EgAud5yX, 5652957]
[paragraph, [87.0, 1263.0, 783.0, 18.0], z8EgAud5yX, 5652957]
