[3968, 2806]
[headline, [965.0, 191.0, 1548.0, 52.5], Qz_COFIavt, 5683582]
[headline, [965.0, 243.5, 1548.0, 52.5], Qz_COFIavt, 5683582]
[headline, [965.0, 296.0, 1548.0, 52.5], Qz_COFIavt, 5683582]
[headline, [965.0, 348.5, 1548.0, 52.5], Qz_COFIavt, 5683582]
[headline, [965.0, 401.0, 1548.0, 52.5], Qz_COFIavt, 5683582]
[headline, [965.0, 453.5, 1548.0, 52.5], Qz_COFIavt, 5683582]
[headline, [965.0, 506.0, 1548.0, 52.5], Qz_COFIavt, 5683582]
[headline, [965.0, 558.5, 1548.0, 52.5], Qz_COFIavt, 5683582]
[headline, [965.0, 611.0, 1548.0, 52.5], Qz_COFIavt, 5683582]
[headline, [965.0, 663.5, 1548.0, 52.5], Qz_COFIavt, 5683582]
[headline, [965.0, 716.0, 1548.0, 52.5], Qz_COFIavt, 5683582]
[headline, [965.0, 768.5, 1548.0, 52.5], Qz_COFIavt, 5683582]
[headline, [965.0, 821.0, 1548.0, 52.5], Qz_COFIavt, 5683582]
[author, [1290.0, 1121.0, 877.0, 52.5], shoonya_4sXTNUP6F3D8DH, 5683582]
[author, [1290.0, 1173.5, 877.0, 52.5], shoonya_4sXTNUP6F3D8DH, 5683582]
[author, [1290.0, 1226.0, 877.0, 52.5], shoonya_4sXTNUP6F3D8DH, 5683582]
[author, [1290.0, 1278.5, 877.0, 52.5], shoonya_4sXTNUP6F3D8DH, 5683582]
[paragraph, [186.0, 1543.0, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 1595.5, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 1648.0, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 1700.5, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 1753.0, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 1805.5, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 1858.0, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 1910.5, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 1963.0, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 2015.5, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 2068.0, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 2120.5, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 2173.0, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 2225.5, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 2278.0, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
[paragraph, [186.0, 2330.5, 1174.0, 52.5], shoonya_1s981DA3UNBY4E, 5683582]
