[787, 560]
[paragraph, [40.0, 9.0, 462.0, 18.0], shoonya_1s1HU4DMUKWYWA, 5748602]
[paragraph, [40.0, 27.0, 462.0, 18.0], shoonya_1s1HU4DMUKWYWA, 5748602]
[paragraph, [40.0, 45.0, 462.0, 18.0], shoonya_1s1HU4DMUKWYWA, 5748602]
[paragraph, [40.0, 63.0, 462.0, 18.0], shoonya_1s1HU4DMUKWYWA, 5748602]
[paragraph, [40.0, 81.0, 462.0, 18.0], shoonya_1s1HU4DMUKWYWA, 5748602]
[paragraph, [40.0, 99.0, 462.0, 18.0], shoonya_1s1HU4DMUKWYWA, 5748602]
[paragraph, [40.0, 117.0, 462.0, 18.0], shoonya_1s1HU4DMUKWYWA, 5748602]
[paragraph, [40.0, 135.0, 462.0, 18.0], shoonya_1s1HU4DMUKWYWA, 5748602]
[paragraph, [40.0, 153.0, 462.0, 18.0], shoonya_1s1HU4DMUKWYWA, 5748602]
[paragraph, [40.0, 171.0, 462.0, 18.0], shoonya_1s1HU4DMUKWYWA, 5748602]
[paragraph, [40.0, 189.0, 462.0, 18.0], shoonya_1s1HU4DMUKWYWA, 5748602]
[paragraph, [44.0, 216.0, 464.0, 18.0], shoonya_2sGMMJFLHB5FXA, 5748602]
[paragraph, [44.0, 234.0, 464.0, 18.0], shoonya_2sGMMJFLHB5FXA, 5748602]
[paragraph, [44.0, 252.0, 464.0, 18.0], shoonya_2sGMMJFLHB5FXA, 5748602]
[paragraph, [44.0, 270.0, 464.0, 18.0], shoonya_2sGMMJFLHB5FXA, 5748602]
[paragraph, [38.0, 324.0, 465.0, 18.0], shoonya_0sEF24F84YZZX7, 5748602]
[paragraph, [38.0, 342.0, 465.0, 18.0], shoonya_0sEF24F84YZZX7, 5748602]
[paragraph, [38.0, 360.0, 465.0, 18.0], shoonya_0sEF24F84YZZX7, 5748602]
[paragraph, [38.0, 378.0, 465.0, 18.0], shoonya_0sEF24F84YZZX7, 5748602]
[paragraph, [38.0, 396.0, 465.0, 18.0], shoonya_0sEF24F84YZZX7, 5748602]
[paragraph, [38.0, 414.0, 465.0, 18.0], shoonya_0sEF24F84YZZX7, 5748602]
[paragraph, [38.0, 432.0, 465.0, 18.0], shoonya_0sEF24F84YZZX7, 5748602]
[paragraph, [38.0, 450.0, 465.0, 18.0], shoonya_0sEF24F84YZZX7, 5748602]
[paragraph, [38.0, 468.0, 465.0, 18.0], shoonya_0sEF24F84YZZX7, 5748602]
[paragraph, [38.0, 486.0, 465.0, 18.0], shoonya_0sEF24F84YZZX7, 5748602]
[paragraph, [38.0, 543.0, 465.0, 18.0], shoonya_3sRKN4JBA8MYSA, 5748602]
[paragraph, [38.0, 561.0, 465.0, 18.0], shoonya_3sRKN4JBA8MYSA, 5748602]
[paragraph, [38.0, 579.0, 465.0, 18.0], shoonya_3sRKN4JBA8MYSA, 5748602]
[paragraph, [38.0, 597.0, 465.0, 18.0], shoonya_3sRKN4JBA8MYSA, 5748602]
[paragraph, [38.0, 615.0, 465.0, 18.0], shoonya_3sRKN4JBA8MYSA, 5748602]
[paragraph, [38.0, 633.0, 465.0, 18.0], shoonya_3sRKN4JBA8MYSA, 5748602]
[paragraph, [38.0, 651.0, 465.0, 18.0], shoonya_3sRKN4JBA8MYSA, 5748602]
[paragraph, [38.0, 669.0, 465.0, 18.0], shoonya_3sRKN4JBA8MYSA, 5748602]
