[1275, 750]
[folio, [215.0, 81.0, 305.0, 18.0], 0Gg9rrGbge, 5767511]
[folio, [215.0, 99.0, 305.0, 18.0], 0Gg9rrGbge, 5767511]
[folio, [215.0, 117.0, 305.0, 18.0], 0Gg9rrGbge, 5767511]
[paragraph, [71.0, 161.0, 614.0, 18.0], autCrlfMbM, 5767511]
[paragraph, [71.0, 179.0, 614.0, 18.0], autCrlfMbM, 5767511]
[paragraph, [71.0, 197.0, 614.0, 18.0], autCrlfMbM, 5767511]
[paragraph, [71.0, 215.0, 614.0, 18.0], autCrlfMbM, 5767511]
[paragraph, [71.0, 233.0, 614.0, 18.0], autCrlfMbM, 5767511]
[section-title, [223.0, 268.0, 292.0, 30.0], eYFXufXH4x, 5767511]
[ordered-list, [67.0, 331.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 349.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 367.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 385.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 403.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 421.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 439.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 457.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 475.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 493.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 511.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 529.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 547.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 565.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 583.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 601.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 619.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 637.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 655.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 673.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 691.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 709.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 727.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 745.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 763.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 781.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 799.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 817.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 835.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 853.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 871.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 889.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 907.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 925.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 943.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 961.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 979.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 997.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 1015.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 1033.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 1051.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 1069.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 1087.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 1105.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 1123.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 1141.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 1159.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
[ordered-list, [67.0, 1177.0, 617.0, 18.0], shoonya_1sV5547N85QJLW, 5767511]
