[2339, 1653]
[folio, [293.0, 216.0, 198.0, 36.0], KrLT6-PRGp, 5655074]
[paragraph, [284.0, 310.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 346.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 382.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 418.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 454.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 490.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 526.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 562.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 598.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 634.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 670.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 706.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 742.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 778.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 814.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 850.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 886.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 922.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 958.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 994.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [284.0, 1030.0, 1087.0, 36.0], shoonya_1sDELA7BUSEN0Q, 5655074]
[paragraph, [282.0, 1111.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1147.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1183.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1219.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1255.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1291.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1327.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1363.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1399.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1435.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1471.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1507.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1543.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1579.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1615.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1651.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1687.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1723.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1759.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1795.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1831.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1867.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1903.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1939.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 1975.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
[paragraph, [282.0, 2011.0, 1082.0, 36.0], shoonya_0sWY49QPC82KMK, 5655074]
