[1951, 1219]
[folio, [115.0, 117.0, 200.0, 36.0], mdzXOi8dc2, 5683382]
[paragraph, [120.0, 216.0, 971.0, 36.0], shoonya_0sNA784N0HTCJL, 5683382]
[paragraph, [120.0, 252.0, 971.0, 36.0], shoonya_0sNA784N0HTCJL, 5683382]
[paragraph, [120.0, 288.0, 971.0, 36.0], shoonya_0sNA784N0HTCJL, 5683382]
[paragraph, [120.0, 324.0, 971.0, 36.0], shoonya_0sNA784N0HTCJL, 5683382]
[paragraph, [120.0, 360.0, 971.0, 36.0], shoonya_0sNA784N0HTCJL, 5683382]
[paragraph, [120.0, 396.0, 971.0, 36.0], shoonya_0sNA784N0HTCJL, 5683382]
[paragraph, [120.0, 432.0, 971.0, 36.0], shoonya_0sNA784N0HTCJL, 5683382]
[paragraph, [120.0, 468.0, 971.0, 36.0], shoonya_0sNA784N0HTCJL, 5683382]
[paragraph, [118.0, 514.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 550.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 586.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 622.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 658.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 694.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 730.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 766.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 802.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 838.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 874.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 910.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 946.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 982.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 1018.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 1054.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 1090.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 1126.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 1162.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [118.0, 1198.0, 972.0, 36.0], hCOnhM45ph, 5683382]
[paragraph, [115.0, 1268.0, 980.0, 36.0], NpM8EDifnL, 5683382]
[paragraph, [115.0, 1304.0, 980.0, 36.0], NpM8EDifnL, 5683382]
[paragraph, [115.0, 1340.0, 980.0, 36.0], NpM8EDifnL, 5683382]
[paragraph, [115.0, 1376.0, 980.0, 36.0], NpM8EDifnL, 5683382]
[paragraph, [115.0, 1412.0, 980.0, 36.0], NpM8EDifnL, 5683382]
[paragraph, [115.0, 1448.0, 980.0, 36.0], NpM8EDifnL, 5683382]
[paragraph, [115.0, 1484.0, 980.0, 36.0], NpM8EDifnL, 5683382]
[paragraph, [115.0, 1520.0, 980.0, 36.0], NpM8EDifnL, 5683382]
[paragraph, [115.0, 1556.0, 980.0, 36.0], NpM8EDifnL, 5683382]
[paragraph, [115.0, 1592.0, 980.0, 36.0], NpM8EDifnL, 5683382]
[paragraph, [115.0, 1628.0, 980.0, 36.0], NpM8EDifnL, 5683382]
[paragraph, [115.0, 1664.0, 980.0, 36.0], NpM8EDifnL, 5683382]
[paragraph, [115.0, 1700.0, 980.0, 36.0], NpM8EDifnL, 5683382]
[paragraph, [115.0, 1736.0, 980.0, 36.0], NpM8EDifnL, 5683382]
[paragraph, [198.0, 1784.0, 217.0, 36.0], gBW2TcXu-2, 5683382]
