[2339, 1656]
[paragraph, [207.0, 162.0, 1218.0, 36.0], shoonya_2sKUZJEDIH0M1H, 5750105]
[paragraph, [207.0, 198.0, 1218.0, 36.0], shoonya_2sKUZJEDIH0M1H, 5750105]
[paragraph, [207.0, 234.0, 1218.0, 36.0], shoonya_2sKUZJEDIH0M1H, 5750105]
[paragraph, [207.0, 270.0, 1218.0, 36.0], shoonya_2sKUZJEDIH0M1H, 5750105]
[paragraph, [207.0, 306.0, 1218.0, 36.0], shoonya_2sKUZJEDIH0M1H, 5750105]
[paragraph, [207.0, 342.0, 1218.0, 36.0], shoonya_2sKUZJEDIH0M1H, 5750105]
[paragraph, [207.0, 378.0, 1218.0, 36.0], shoonya_2sKUZJEDIH0M1H, 5750105]
[paragraph, [207.0, 414.0, 1218.0, 36.0], shoonya_2sKUZJEDIH0M1H, 5750105]
[paragraph, [207.0, 450.0, 1218.0, 36.0], shoonya_2sKUZJEDIH0M1H, 5750105]
[paragraph, [214.0, 526.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 562.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 598.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 634.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 670.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 706.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 742.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 778.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 814.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 850.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 886.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 922.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 958.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 994.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 1030.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 1066.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 1102.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 1138.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
[paragraph, [214.0, 1174.0, 1210.0, 36.0], shoonya_0s86RZAHJHZZ32, 5750105]
