[540, 960]
[section-title, [47.0, 61.0, 696.0, 30.0], shoonya_0sXU99PA2MO6MZ, 5715295]
[section-title, [47.0, 91.0, 696.0, 30.0], shoonya_0sXU99PA2MO6MZ, 5715295]
[quote, [723.0, 176.0, 204.0, 18.0], YvGs0uVKR1, 5715295]
[quote, [723.0, 194.0, 204.0, 18.0], YvGs0uVKR1, 5715295]
[quote, [723.0, 212.0, 204.0, 18.0], YvGs0uVKR1, 5715295]
[quote, [723.0, 230.0, 204.0, 18.0], YvGs0uVKR1, 5715295]
[quote, [723.0, 248.0, 204.0, 18.0], YvGs0uVKR1, 5715295]
[quote, [723.0, 266.0, 204.0, 18.0], YvGs0uVKR1, 5715295]
[quote, [723.0, 284.0, 204.0, 18.0], YvGs0uVKR1, 5715295]
[unordered-list, [25.0, 186.0, 463.0, 18.0], shoonya_1sMHKMICLPPH7G, 5715295]
[unordered-list, [25.0, 204.0, 463.0, 18.0], shoonya_1sMHKMICLPPH7G, 5715295]
[unordered-list, [25.0, 222.0, 463.0, 18.0], shoonya_1sMHKMICLPPH7G, 5715295]
[unordered-list, [25.0, 240.0, 463.0, 18.0], shoonya_1sMHKMICLPPH7G, 5715295]
[unordered-list, [25.0, 258.0, 463.0, 18.0], shoonya_1sMHKMICLPPH7G, 5715295]
[unordered-list, [25.0, 276.0, 463.0, 18.0], shoonya_1sMHKMICLPPH7G, 5715295]
[unordered-list, [25.0, 294.0, 463.0, 18.0], shoonya_1sMHKMICLPPH7G, 5715295]
[unordered-list, [25.0, 312.0, 463.0, 18.0], shoonya_1sMHKMICLPPH7G, 5715295]
[unordered-list, [25.0, 330.0, 463.0, 18.0], shoonya_1sMHKMICLPPH7G, 5715295]
[unordered-list, [25.0, 348.0, 463.0, 18.0], shoonya_1sMHKMICLPPH7G, 5715295]
[unordered-list, [25.0, 366.0, 463.0, 18.0], shoonya_1sMHKMICLPPH7G, 5715295]
[unordered-list, [25.0, 384.0, 463.0, 18.0], shoonya_1sMHKMICLPPH7G, 5715295]
[unordered-list, [25.0, 402.0, 463.0, 18.0], shoonya_1sMHKMICLPPH7G, 5715295]
[unordered-list, [25.0, 420.0, 463.0, 18.0], shoonya_1sMHKMICLPPH7G, 5715295]
[folio, [853.0, 485.0, 106.0, 18.0], 3IFKiOFIka, 5715295]
[folio, [853.0, 503.0, 106.0, 18.0], 3IFKiOFIka, 5715295]
[folio, [3.0, 489.0, 118.0, 18.0], AJ1nIlHDzH, 5715295]
[folio, [3.0, 507.0, 118.0, 18.0], AJ1nIlHDzH, 5715295]
