[2339, 1653]
[paragraph, [213.0, 203.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 239.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 275.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 311.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 347.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 383.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 419.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 455.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 491.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 527.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 563.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 599.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 635.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 671.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 707.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 743.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 779.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 815.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 851.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 887.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 923.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 959.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 995.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1031.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1067.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1103.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1139.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1175.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1211.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1247.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1283.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1319.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1355.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1391.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1427.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1463.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1499.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1535.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1571.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1607.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1643.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1679.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [213.0, 1715.0, 1212.0, 36.0], shoonya_2sBG2BIY9WKRHF, 5687122]
[paragraph, [227.0, 1776.0, 1208.0, 36.0], shoonya_1sUGEN0ZICJLI4, 5687122]
[paragraph, [227.0, 1812.0, 1208.0, 36.0], shoonya_1sUGEN0ZICJLI4, 5687122]
[paragraph, [227.0, 1848.0, 1208.0, 36.0], shoonya_1sUGEN0ZICJLI4, 5687122]
[reference, [223.0, 1954.0, 1061.0, 36.0], shoonya_0sR4B4F065PH3R, 5687122]
[reference, [223.0, 1990.0, 1061.0, 36.0], shoonya_0sR4B4F065PH3R, 5687122]
[reference, [223.0, 2026.0, 1061.0, 36.0], shoonya_0sR4B4F065PH3R, 5687122]
[reference, [223.0, 2062.0, 1061.0, 36.0], shoonya_0sR4B4F065PH3R, 5687122]
