[1387, 987]
[paragraph, [87.0, 95.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 113.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 131.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 149.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 167.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 185.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 203.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 221.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 239.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 257.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 275.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 293.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 311.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 329.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 347.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 365.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 383.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 401.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 419.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 437.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 455.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [87.0, 473.0, 798.0, 18.0], shoonya_1sHYE6S91LXWNV, 5653049]
[paragraph, [90.0, 502.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 520.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 538.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 556.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 574.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 592.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 610.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 628.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 646.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 664.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 682.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 700.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 718.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 736.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 754.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 772.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 790.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 808.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 826.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 844.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 862.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 880.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 898.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 916.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 934.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 952.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 970.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 988.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 1006.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 1024.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 1042.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 1060.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 1078.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 1096.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [90.0, 1114.0, 807.0, 18.0], shoonya_0s60LIIO6B2T32, 5653049]
[paragraph, [87.0, 1158.0, 805.0, 18.0], H9MXJll8f2, 5653049]
[paragraph, [87.0, 1176.0, 805.0, 18.0], H9MXJll8f2, 5653049]
[paragraph, [87.0, 1194.0, 805.0, 18.0], H9MXJll8f2, 5653049]
[paragraph, [87.0, 1212.0, 805.0, 18.0], H9MXJll8f2, 5653049]
[paragraph, [87.0, 1230.0, 805.0, 18.0], H9MXJll8f2, 5653049]
[paragraph, [87.0, 1248.0, 805.0, 18.0], H9MXJll8f2, 5653049]
