[2906, 2048]
[paragraph, [225.0, 261.0, 1582.0, 46.5], WzOMdvKxSF, 6473665]
[paragraph, [225.0, 307.5, 1582.0, 46.5], WzOMdvKxSF, 6473665]
[paragraph, [225.0, 354.0, 1582.0, 46.5], WzOMdvKxSF, 6473665]
[paragraph, [225.0, 400.5, 1582.0, 46.5], WzOMdvKxSF, 6473665]
[section-title, [235.0, 505.0, 1574.0, 79.5], shoonya_3s8XWJ9K4CPEIV, 6473665]
[section-title, [235.0, 584.5, 1574.0, 79.5], shoonya_3s8XWJ9K4CPEIV, 6473665]
[paragraph, [225.0, 734.0, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 780.5, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 827.0, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 873.5, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 920.0, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 966.5, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 1013.0, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 1059.5, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 1106.0, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 1152.5, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 1199.0, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 1245.5, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 1292.0, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 1338.5, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 1385.0, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 1431.5, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 1478.0, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 1524.5, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 1571.0, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[paragraph, [225.0, 1617.5, 1587.0, 46.5], P2xQZ3Mj7J, 6473665]
[ordered-list, [230.0, 1721.0, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 1767.5, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 1814.0, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 1860.5, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 1907.0, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 1953.5, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 2000.0, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 2046.5, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 2093.0, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 2139.5, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 2186.0, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 2232.5, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 2279.0, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 2325.5, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 2372.0, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 2418.5, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 2465.0, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 2511.5, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 2558.0, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
[ordered-list, [230.0, 2604.5, 1583.0, 46.5], shoonya_0s3XSBUE14TWL7, 6473665]
