[3509, 2482]
[folio, [872.0, 204.0, 474.0, 52.5], shoonya_2sTSRYURGBJJ3C, 5692239]
[paragraph, [181.0, 315.0, 1838.0, 52.5], shoonya_0sF7BYK5Q3VEOQ, 5692239]
[paragraph, [181.0, 367.5, 1838.0, 52.5], shoonya_0sF7BYK5Q3VEOQ, 5692239]
[paragraph, [181.0, 420.0, 1838.0, 52.5], shoonya_0sF7BYK5Q3VEOQ, 5692239]
[paragraph, [181.0, 472.5, 1838.0, 52.5], shoonya_0sF7BYK5Q3VEOQ, 5692239]
[paragraph, [181.0, 525.0, 1838.0, 52.5], shoonya_0sF7BYK5Q3VEOQ, 5692239]
[paragraph, [181.0, 577.5, 1838.0, 52.5], shoonya_0sF7BYK5Q3VEOQ, 5692239]
[paragraph, [181.0, 630.0, 1838.0, 52.5], shoonya_0sF7BYK5Q3VEOQ, 5692239]
[paragraph, [181.0, 682.5, 1838.0, 52.5], shoonya_0sF7BYK5Q3VEOQ, 5692239]
[paragraph, [181.0, 735.0, 1838.0, 52.5], shoonya_0sF7BYK5Q3VEOQ, 5692239]
[paragraph, [181.0, 787.5, 1838.0, 52.5], shoonya_0sF7BYK5Q3VEOQ, 5692239]
[paragraph, [181.0, 840.0, 1838.0, 52.5], shoonya_0sF7BYK5Q3VEOQ, 5692239]
[paragraph, [181.0, 892.5, 1838.0, 52.5], shoonya_0sF7BYK5Q3VEOQ, 5692239]
[paragraph, [181.0, 945.0, 1838.0, 52.5], shoonya_0sF7BYK5Q3VEOQ, 5692239]
[paragraph, [184.0, 1017.0, 1830.0, 52.5], wPKIBWZ4Yd, 5692239]
[paragraph, [184.0, 1069.5, 1830.0, 52.5], wPKIBWZ4Yd, 5692239]
[paragraph, [184.0, 1122.0, 1830.0, 52.5], wPKIBWZ4Yd, 5692239]
[paragraph, [184.0, 1174.5, 1830.0, 52.5], wPKIBWZ4Yd, 5692239]
[paragraph, [184.0, 1227.0, 1830.0, 52.5], wPKIBWZ4Yd, 5692239]
[paragraph, [184.0, 1279.5, 1830.0, 52.5], wPKIBWZ4Yd, 5692239]
[paragraph, [184.0, 1332.0, 1830.0, 52.5], wPKIBWZ4Yd, 5692239]
[paragraph, [184.0, 1384.5, 1830.0, 52.5], wPKIBWZ4Yd, 5692239]
[paragraph, [184.0, 1437.0, 1830.0, 52.5], wPKIBWZ4Yd, 5692239]
[paragraph, [184.0, 1489.5, 1830.0, 52.5], wPKIBWZ4Yd, 5692239]
[paragraph, [184.0, 1542.0, 1830.0, 52.5], wPKIBWZ4Yd, 5692239]
[paragraph, [184.0, 1594.5, 1830.0, 52.5], wPKIBWZ4Yd, 5692239]
[paragraph, [184.0, 1647.0, 1830.0, 52.5], wPKIBWZ4Yd, 5692239]
[paragraph, [247.0, 1710.0, 881.0, 52.5], NoSs6tLRpe, 5692239]
[section-title, [992.0, 1868.0, 219.0, 93.0], OB5tDMD3mL, 5692239]
[paragraph, [193.0, 1991.0, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2043.5, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2096.0, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2148.5, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2201.0, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2253.5, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2306.0, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2358.5, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2411.0, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2463.5, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2516.0, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2568.5, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2621.0, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2673.5, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2726.0, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[paragraph, [193.0, 2778.5, 1818.0, 52.5], shoonya_1sZQAQUV6F3KI0, 5692239]
[section-title, [1014.0, 2923.0, 200.0, 93.0], FXvMY_7aDr, 5692239]
[paragraph, [291.0, 3061.0, 1164.0, 52.5], 7Cjp0yTJZL, 5692239]
[paragraph, [291.0, 3113.5, 1164.0, 52.5], 7Cjp0yTJZL, 5692239]
[paragraph, [291.0, 3166.0, 1164.0, 52.5], 7Cjp0yTJZL, 5692239]
[folio, [356.0, 3246.0, 453.0, 52.5], ovfsgTaC5p, 5692239]
[folio, [356.0, 3298.5, 453.0, 52.5], ovfsgTaC5p, 5692239]
