[1606, 1056]
[folio, [443.0, 99.0, 160.0, 36.0], shoonya_3s0OBK1B2UPI0Q, 5683699]
[paragraph, [101.0, 155.0, 856.0, 36.0], shoonya_0sBOC5TMHO7NI5, 5683699]
[paragraph, [101.0, 191.0, 856.0, 36.0], shoonya_0sBOC5TMHO7NI5, 5683699]
[paragraph, [101.0, 227.0, 856.0, 36.0], shoonya_0sBOC5TMHO7NI5, 5683699]
[paragraph, [101.0, 263.0, 856.0, 36.0], shoonya_0sBOC5TMHO7NI5, 5683699]
[paragraph, [101.0, 299.0, 856.0, 36.0], shoonya_0sBOC5TMHO7NI5, 5683699]
[paragraph, [101.0, 335.0, 856.0, 36.0], shoonya_0sBOC5TMHO7NI5, 5683699]
[paragraph, [101.0, 371.0, 856.0, 36.0], shoonya_0sBOC5TMHO7NI5, 5683699]
[paragraph, [101.0, 407.0, 856.0, 36.0], shoonya_0sBOC5TMHO7NI5, 5683699]
[paragraph, [101.0, 443.0, 856.0, 36.0], shoonya_0sBOC5TMHO7NI5, 5683699]
[paragraph, [101.0, 479.0, 856.0, 36.0], shoonya_0sBOC5TMHO7NI5, 5683699]
[paragraph, [101.0, 515.0, 856.0, 36.0], shoonya_0sBOC5TMHO7NI5, 5683699]
[paragraph, [96.0, 563.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 599.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 635.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 671.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 707.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 743.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 779.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 815.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 851.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 887.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 923.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 959.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 995.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 1031.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 1067.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 1103.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 1139.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 1175.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 1211.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 1247.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [96.0, 1283.0, 860.0, 36.0], shoonya_1sUF1E50CRWSEG, 5683699]
[paragraph, [309.0, 1335.0, 441.0, 36.0], shoonya_5sB3XMJOLLI0OC, 5683699]
[paragraph, [309.0, 1371.0, 441.0, 36.0], shoonya_5sB3XMJOLLI0OC, 5683699]
[paragraph, [309.0, 1407.0, 441.0, 36.0], shoonya_5sB3XMJOLLI0OC, 5683699]
[paragraph, [309.0, 1443.0, 441.0, 36.0], shoonya_5sB3XMJOLLI0OC, 5683699]
[paragraph, [309.0, 1479.0, 441.0, 36.0], shoonya_5sB3XMJOLLI0OC, 5683699]
