[792, 612]
[paragraph, [50.0, 88.0, 151.0, 18.0], PBn3kM87NY, 6514171]
[paragraph, [50.0, 106.0, 151.0, 18.0], PBn3kM87NY, 6514171]
[paragraph, [50.0, 124.0, 151.0, 18.0], PBn3kM87NY, 6514171]
[paragraph, [50.0, 142.0, 151.0, 18.0], PBn3kM87NY, 6514171]
[paragraph, [50.0, 160.0, 151.0, 18.0], PBn3kM87NY, 6514171]
[paragraph, [50.0, 178.0, 151.0, 18.0], PBn3kM87NY, 6514171]
[paragraph, [50.0, 196.0, 151.0, 18.0], PBn3kM87NY, 6514171]
[paragraph, [230.0, 89.0, 150.0, 18.0], 7NJ0tEAdw1, 6514171]
[paragraph, [230.0, 107.0, 150.0, 18.0], 7NJ0tEAdw1, 6514171]
[paragraph, [230.0, 125.0, 150.0, 18.0], 7NJ0tEAdw1, 6514171]
[paragraph, [411.0, 90.0, 150.0, 18.0], O4BHhb8l3Z, 6514171]
[paragraph, [411.0, 108.0, 150.0, 18.0], O4BHhb8l3Z, 6514171]
[paragraph, [411.0, 126.0, 150.0, 18.0], O4BHhb8l3Z, 6514171]
[paragraph, [411.0, 144.0, 150.0, 18.0], O4BHhb8l3Z, 6514171]
[paragraph, [411.0, 162.0, 150.0, 18.0], O4BHhb8l3Z, 6514171]
[paragraph, [411.0, 180.0, 150.0, 18.0], O4BHhb8l3Z, 6514171]
[paragraph, [411.0, 198.0, 150.0, 18.0], O4BHhb8l3Z, 6514171]
[paragraph, [411.0, 216.0, 150.0, 18.0], O4BHhb8l3Z, 6514171]
[paragraph, [411.0, 234.0, 150.0, 18.0], O4BHhb8l3Z, 6514171]
[paragraph, [411.0, 252.0, 150.0, 18.0], O4BHhb8l3Z, 6514171]
[paragraph, [411.0, 270.0, 150.0, 18.0], O4BHhb8l3Z, 6514171]
[paragraph, [411.0, 288.0, 150.0, 18.0], O4BHhb8l3Z, 6514171]
[paragraph, [230.0, 156.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 174.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 192.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 210.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 228.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 246.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 264.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 282.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 300.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 318.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 336.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 354.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 372.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 390.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 408.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [230.0, 426.0, 151.0, 18.0], fbhA4vq-oW, 6514171]
[paragraph, [409.0, 325.0, 151.0, 18.0], ElRQYrsRVz, 6514171]
[paragraph, [409.0, 343.0, 151.0, 18.0], ElRQYrsRVz, 6514171]
[paragraph, [409.0, 361.0, 151.0, 18.0], ElRQYrsRVz, 6514171]
[paragraph, [409.0, 379.0, 151.0, 18.0], ElRQYrsRVz, 6514171]
[paragraph, [409.0, 397.0, 151.0, 18.0], ElRQYrsRVz, 6514171]
[paragraph, [409.0, 415.0, 151.0, 18.0], ElRQYrsRVz, 6514171]
[paragraph, [409.0, 441.0, 152.0, 18.0], -l4GxDGJRz, 6514171]
[paragraph, [409.0, 459.0, 152.0, 18.0], -l4GxDGJRz, 6514171]
[paragraph, [409.0, 477.0, 152.0, 18.0], -l4GxDGJRz, 6514171]
[paragraph, [409.0, 495.0, 152.0, 18.0], -l4GxDGJRz, 6514171]
[paragraph, [409.0, 513.0, 152.0, 18.0], -l4GxDGJRz, 6514171]
[paragraph, [409.0, 531.0, 152.0, 18.0], -l4GxDGJRz, 6514171]
[paragraph, [409.0, 549.0, 152.0, 18.0], -l4GxDGJRz, 6514171]
[paragraph, [409.0, 567.0, 152.0, 18.0], -l4GxDGJRz, 6514171]
[paragraph, [409.0, 585.0, 152.0, 18.0], -l4GxDGJRz, 6514171]
[paragraph, [409.0, 603.0, 152.0, 18.0], -l4GxDGJRz, 6514171]
[paragraph, [409.0, 621.0, 152.0, 18.0], -l4GxDGJRz, 6514171]
[paragraph, [230.0, 455.0, 150.0, 18.0], EGWR9LRQRT, 6514171]
[paragraph, [230.0, 473.0, 150.0, 18.0], EGWR9LRQRT, 6514171]
[paragraph, [230.0, 491.0, 150.0, 18.0], EGWR9LRQRT, 6514171]
[paragraph, [230.0, 509.0, 150.0, 18.0], EGWR9LRQRT, 6514171]
[paragraph, [230.0, 527.0, 150.0, 18.0], EGWR9LRQRT, 6514171]
[paragraph, [230.0, 545.0, 150.0, 18.0], EGWR9LRQRT, 6514171]
[paragraph, [230.0, 563.0, 150.0, 18.0], EGWR9LRQRT, 6514171]
[paragraph, [230.0, 581.0, 150.0, 18.0], EGWR9LRQRT, 6514171]
[paragraph, [230.0, 599.0, 150.0, 18.0], EGWR9LRQRT, 6514171]
[paragraph, [230.0, 617.0, 150.0, 18.0], EGWR9LRQRT, 6514171]
[paragraph, [230.0, 635.0, 150.0, 18.0], EGWR9LRQRT, 6514171]
[paragraph, [230.0, 653.0, 150.0, 18.0], EGWR9LRQRT, 6514171]
[paragraph, [50.0, 456.0, 149.0, 18.0], ncy-YE7NFM, 6514171]
[paragraph, [50.0, 474.0, 149.0, 18.0], ncy-YE7NFM, 6514171]
[paragraph, [50.0, 492.0, 149.0, 18.0], ncy-YE7NFM, 6514171]
[paragraph, [50.0, 510.0, 149.0, 18.0], ncy-YE7NFM, 6514171]
[paragraph, [50.0, 528.0, 149.0, 18.0], ncy-YE7NFM, 6514171]
[paragraph, [50.0, 546.0, 149.0, 18.0], ncy-YE7NFM, 6514171]
[paragraph, [50.0, 564.0, 149.0, 18.0], ncy-YE7NFM, 6514171]
[paragraph, [50.0, 582.0, 149.0, 18.0], ncy-YE7NFM, 6514171]
[paragraph, [50.0, 600.0, 149.0, 18.0], ncy-YE7NFM, 6514171]
[paragraph, [50.0, 627.0, 151.0, 18.0], UGeLWW8ape, 6514171]
[paragraph, [50.0, 645.0, 151.0, 18.0], UGeLWW8ape, 6514171]
[paragraph, [50.0, 663.0, 151.0, 18.0], UGeLWW8ape, 6514171]
[paragraph, [409.0, 662.0, 150.0, 18.0], R5TJiCTfsp, 6514171]
